 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2026
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";10;339;135;268;195;205;32;553;1737
".. Rondônia";-;24;6;19;11;10;-;31;101
".. Acre";-;19;5;16;18;19;3;34;114
".. Amazonas";1;76;44;59;44;72;13;128;437
".. Roraima";5;15;9;12;14;12;1;22;90
".. Pará";4;168;51;132;84;72;13;260;784
".. Amapá";-;17;3;9;13;8;-;30;80
".. Tocantins";-;20;17;21;11;12;2;48;131
"Região Nordeste";1;911;301;645;327;280;64;1278;3807
".. Maranhão";-;136;50;80;77;49;11;174;577
".. Piauí";-;53;15;26;13;14;3;81;205
".. Ceará";-;115;28;75;36;47;6;171;478
".. Rio Grande do Norte";-;52;13;35;8;9;-;64;181
".. Paraíba";-;72;21;61;27;15;10;98;304
".. Pernambuco";1;138;41;70;69;52;7;209;587
".. Alagoas";-;64;20;67;22;23;4;97;297
".. Sergipe";-;61;16;36;25;10;3;50;201
".. Bahia";-;220;97;195;50;61;20;334;977
"Região Sudeste";4;1020;302;622;285;322;45;1458;4058
".. Minas Gerais";-;220;71;154;60;58;13;338;914
".. Espírito Santo";-;51;7;33;9;35;-;87;222
".. Rio de Janeiro";1;191;63;126;61;83;2;276;803
".. São Paulo";3;558;161;309;155;146;30;757;2119
"Região Sul";1;390;121;214;84;116;18;545;1489
".. Paraná";-;169;47;82;33;51;9;220;611
".. Santa Catarina";-;99;33;59;32;30;7;160;420
".. Rio Grande do Sul";1;122;41;73;19;35;2;165;458
"Região Centro-Oeste";-;197;72;169;118;98;28;381;1063
".. Mato Grosso do Sul";-;33;9;31;23;17;1;68;182
".. Mato Grosso";-;61;19;64;44;46;7;124;365
".. Goiás";-;70;32;55;41;28;18;137;381
".. Distrito Federal";-;33;12;19;10;7;2;52;135
"Total";16;2857;931;1918;1009;1021;187;4215;12154
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
