 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2020
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";439;79;36;89;1;95;1;4;60;318;86;6;6;32;2499;921;212;301;5185
".. Rondônia";27;9;-;4;-;4;-;-;4;15;5;-;1;4;193;84;11;21;382
".. Acre";27;3;5;7;-;6;1;-;2;25;7;-;-;2;124;51;16;8;284
".. Amazonas";136;20;9;34;-;19;-;1;4;80;14;3;2;9;550;273;53;51;1258
".. Roraima";32;2;4;8;-;5;-;2;2;19;8;-;-;-;129;41;19;38;309
".. Pará";175;39;18;29;1;47;-;-;35;153;44;3;2;15;1209;342;98;126;2336
".. Amapá";25;1;-;4;-;6;-;-;4;17;4;-;1;1;154;57;7;23;304
".. Tocantins";17;5;-;3;-;8;-;1;9;9;4;-;-;1;140;73;8;34;312
"Região Nordeste";676;188;79;142;1;253;-;5;134;397;135;18;8;61;6121;2299;358;529;11404
".. Maranhão";110;35;17;30;-;37;-;-;23;89;29;6;1;7;904;283;62;84;1717
".. Piauí";38;12;3;9;-;26;-;-;10;40;12;-;-;7;341;167;27;33;725
".. Ceará";96;38;13;14;-;30;-;2;21;56;23;5;1;12;863;328;37;86;1625
".. Rio Grande do Norte";24;12;4;4;-;8;-;1;2;13;6;1;-;3;314;133;8;22;555
".. Paraíba";41;14;3;14;-;25;-;-;15;35;9;-;3;6;425;154;23;28;795
".. Pernambuco";107;30;10;23;-;29;-;-;15;47;15;3;-;7;893;405;38;104;1726
".. Alagoas";43;11;6;5;-;13;-;-;9;19;5;-;-;-;356;140;22;31;660
".. Sergipe";43;9;2;4;-;16;-;1;1;21;6;-;-;2;307;116;14;26;568
".. Bahia";174;27;21;39;1;69;-;1;38;77;30;3;3;17;1718;573;127;115;3033
"Região Sudeste";550;200;71;108;2;272;1;3;162;418;134;22;7;69;6574;2883;342;756;12574
".. Minas Gerais";88;54;22;32;1;69;-;-;37;70;33;5;4;11;1597;705;100;137;2965
".. Espírito Santo";28;14;1;4;1;6;-;1;2;14;6;3;-;6;302;161;8;56;613
".. Rio de Janeiro";189;47;20;30;-;66;-;1;39;135;27;6;2;15;1431;559;62;226;2855
".. São Paulo";245;85;28;42;-;131;1;1;84;199;68;8;1;37;3244;1458;172;337;6141
"Região Sul";117;75;14;36;-;82;-;1;40;73;39;3;-;13;1997;1048;88;261;3887
".. Paraná";50;45;7;9;-;37;-;1;14;23;14;1;-;4;777;439;38;112;1571
".. Santa Catarina";29;17;5;17;-;25;-;-;15;25;14;2;-;5;525;276;17;57;1029
".. Rio Grande do Sul";38;13;2;10;-;20;-;-;11;25;11;-;-;4;695;333;33;92;1287
"Região Centro-Oeste";136;37;25;25;-;67;-;-;37;102;33;-;1;11;1451;716;105;229;2975
".. Mato Grosso do Sul";11;7;5;5;-;10;-;-;6;26;7;-;-;3;255;119;17;59;530
".. Mato Grosso";71;7;8;10;-;18;-;-;11;29;9;-;1;7;346;182;50;72;821
".. Goiás";49;20;8;8;-;30;-;-;16;39;17;-;-;1;622;288;31;73;1202
".. Distrito Federal";5;3;4;2;-;9;-;-;4;8;-;-;-;-;228;127;7;25;422
"Total";1918;579;225;400;4;769;2;13;433;1308;427;49;22;186;18642;7867;1105;2076;36025
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
