 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2021
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";3139;2342;27;5508
".. Rondônia";213;155;1;369
".. Acre";196;133;-;329
".. Amazonas";799;609;2;1410
".. Roraima";201;154;2;357
".. Pará";1334;984;16;2334
".. Amapá";188;157;1;346
".. Tocantins";208;150;5;363
"Região Nordeste";6309;5093;97;11499
".. Maranhão";958;764;13;1735
".. Piauí";394;316;8;718
".. Ceará";830;655;13;1498
".. Rio Grande do Norte";324;255;5;584
".. Paraíba";462;342;8;812
".. Pernambuco";956;819;15;1790
".. Alagoas";396;353;5;754
".. Sergipe";272;228;9;509
".. Bahia";1717;1361;21;3099
"Região Sudeste";6922;5721;49;12692
".. Minas Gerais";1625;1308;17;2950
".. Espírito Santo";392;298;6;696
".. Rio de Janeiro";1490;1275;5;2770
".. São Paulo";3415;2840;21;6276
"Região Sul";2253;1740;8;4001
".. Paraná";879;676;-;1555
".. Santa Catarina";558;460;2;1020
".. Rio Grande do Sul";816;604;6;1426
"Região Centro-Oeste";1763;1404;10;3177
".. Mato Grosso do Sul";279;254;-;533
".. Mato Grosso";501;386;5;892
".. Goiás";718;575;3;1296
".. Distrito Federal";265;189;2;456
"Total";20386;16300;191;36877
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
