 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2017
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4839;59;481;84;256;10;5729
".. Rondônia";364;2;20;10;8;1;405
".. Acre";236;-;22;2;11;1;272
".. Amazonas";1215;6;195;13;109;1;1539
".. Roraima";163;6;41;5;32;4;251
".. Pará";2203;33;163;42;83;1;2525
".. Amapá";334;3;16;4;9;1;367
".. Tocantins";324;9;24;8;4;1;370
"Região Nordeste";11963;217;682;203;225;7;13297
".. Maranhão";1822;28;139;58;48;-;2095
".. Piauí";779;6;62;10;8;-;865
".. Ceará";1783;20;66;31;53;2;1955
".. Rio Grande do Norte";614;14;30;8;6;-;672
".. Paraíba";817;1;38;4;12;1;873
".. Pernambuco";1762;39;88;28;21;-;1938
".. Alagoas";718;13;53;10;9;-;803
".. Sergipe";559;2;13;5;3;1;583
".. Bahia";3109;94;193;49;65;3;3513
"Região Sudeste";13913;483;478;83;125;6;15088
".. Minas Gerais";3142;108;161;35;37;4;3487
".. Espírito Santo";664;11;22;3;6;-;706
".. Rio de Janeiro";2969;169;70;4;17;1;3230
".. São Paulo";7138;195;225;41;65;1;7665
"Região Sul";4260;87;202;70;47;1;4667
".. Paraná";1689;46;72;30;22;-;1859
".. Santa Catarina";1030;9;57;13;11;-;1120
".. Rio Grande do Sul";1541;32;73;27;14;1;1688
"Região Centro-Oeste";2986;83;159;67;62;3;3360
".. Mato Grosso do Sul";478;11;41;22;14;-;566
".. Mato Grosso";789;17;40;22;17;-;885
".. Goiás";1190;46;63;14;22;3;1338
".. Distrito Federal";529;9;15;9;9;-;571
"Total";37961;929;2002;507;715;27;42141
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
