 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2026
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Total"
"Região Norte";1523;32;112;16;54;1737
".. Rondônia";92;2;4;1;2;101
".. Acre";89;-;14;-;11;114
".. Amazonas";375;1;35;5;21;437
".. Roraima";79;2;6;1;2;90
".. Pará";698;24;39;8;15;784
".. Amapá";74;-;4;-;2;80
".. Tocantins";116;3;10;1;1;131
"Região Nordeste";3475;79;135;36;82;3807
".. Maranhão";508;5;35;3;26;577
".. Piauí";189;1;12;2;1;205
".. Ceará";436;9;21;2;10;478
".. Rio Grande do Norte";172;7;-;2;-;181
".. Paraíba";277;4;14;3;6;304
".. Pernambuco";535;23;18;6;5;587
".. Alagoas";266;9;5;3;14;297
".. Sergipe";190;3;3;5;-;201
".. Bahia";902;18;27;10;20;977
"Região Sudeste";3706;210;100;12;30;4058
".. Minas Gerais";846;29;30;5;4;914
".. Espírito Santo";199;12;7;1;3;222
".. Rio de Janeiro";716;65;17;-;5;803
".. São Paulo";1945;104;46;6;18;2119
"Região Sul";1357;36;51;18;27;1489
".. Paraná";549;18;20;11;13;611
".. Santa Catarina";386;12;14;5;3;420
".. Rio Grande do Sul";422;6;17;2;11;458
"Região Centro-Oeste";962;25;48;12;16;1063
".. Mato Grosso do Sul";161;5;11;2;3;182
".. Mato Grosso";326;7;19;5;8;365
".. Goiás";350;12;12;3;4;381
".. Distrito Federal";125;1;6;2;1;135
"Total";11023;382;446;94;209;12154
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
