ano,dimensao,nivel,regiao,uf,sigla,Cap I,Cap II,Cap III,Cap IV,Cap V,Cap VI,Cap VII,Cap VIII,Cap IX,Cap X,Cap XI,Cap XII,Cap XIII,Cap XIV,Cap XV,Cap XVI,Cap XVII,Cap XVIII,Cap XX,Total,Cap XIX,Cap XXII
2016,capitulo_cid10,Regiao,Região Norte,,,4279,10914,486,5378,426,1350,1,12,18263,7720,3565,237,295,1817,235,2687,1119,6243,15078,80105,0,0
2016,capitulo_cid10,Estado,Região Norte,Rondônia,RO,408,1266,43,519,44,156,1,2,1986,821,380,14,27,268,18,176,133,511,1571,8344,0,0
2016,capitulo_cid10,Estado,Região Norte,Acre,AC,191,508,28,217,27,67,0,0,834,541,162,11,13,77,9,109,71,243,655,3763,0,0
2016,capitulo_cid10,Estado,Região Norte,Amazonas,AM,1136,2585,111,1051,48,263,0,1,3147,1430,708,27,76,348,62,622,276,2087,2821,16799,0,0
2016,capitulo_cid10,Estado,Região Norte,Roraima,RR,117,282,9,206,11,40,0,0,415,221,72,5,9,55,7,87,41,106,474,2157,0,0
2016,capitulo_cid10,Estado,Região Norte,Pará,PA,2046,4824,242,2620,179,609,0,8,9024,3893,1746,142,131,876,104,1344,434,2903,7432,38557,0,0
2016,capitulo_cid10,Estado,Região Norte,Amapá,AP,156,424,18,171,14,72,0,0,585,276,117,16,12,52,16,177,58,231,600,2995,0,0
2016,capitulo_cid10,Estado,Região Norte,Tocantins,TO,225,1025,35,594,103,143,0,1,2272,538,380,22,27,141,19,172,106,162,1525,7490,0,0
2016,capitulo_cid10,Regiao,Região Nordeste,,,15769,46892,2113,25519,3686,7197,10,34,93833,35633,17641,1780,1512,8917,576,6951,3074,25057,50901,347095,0,0
2016,capitulo_cid10,Estado,Região Nordeste,Maranhão,MA,1736,3900,229,2694,285,534,1,4,10622,2914,1759,134,87,768,110,971,376,1786,5452,34362,0,0
