ano,nivel,regiao,uf,sigla,capitulo,obitos,intervalo_codigos,descricao
2016,Regiao,Região Norte,,,Cap I,4279,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Norte,Rondônia,RO,Cap I,408,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Norte,Acre,AC,Cap I,191,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Norte,Amazonas,AM,Cap I,1136,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Norte,Roraima,RR,Cap I,117,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Norte,Pará,PA,Cap I,2046,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Norte,Amapá,AP,Cap I,156,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Norte,Tocantins,TO,Cap I,225,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Regiao,Região Nordeste,,,Cap I,15769,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Maranhão,MA,Cap I,1736,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Piauí,PI,Cap I,681,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Ceará,CE,Cap I,2154,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,1046,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Paraíba,PB,Cap I,1260,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Pernambuco,PE,Cap I,3377,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Alagoas,AL,Cap I,1013,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Sergipe,SE,Cap I,538,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Nordeste,Bahia,BA,Cap I,3964,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Regiao,Região Sudeste,,,Cap I,25891,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Sudeste,Minas Gerais,MG,Cap I,6422,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Sudeste,Espírito Santo,ES,Cap I,704,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,8051,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Sudeste,São Paulo,SP,Cap I,10714,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Regiao,Região Sul,,,Cap I,7531,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Sul,Paraná,PR,Cap I,2491,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Sul,Santa Catarina,SC,Cap I,1521,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,3519,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Regiao,Região Centro-Oeste,,,Cap I,3718,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,Cap I,650,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Centro-Oeste,Mato Grosso,MT,Cap I,797,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Centro-Oeste,Goiás,GO,Cap I,1751,A00–B99,Algumas doenças infecciosas e parasitárias
2016,Estado,Região Centro-Oeste,Distrito Federal,DF,Cap I,520,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Regiao,Região Norte,,,Cap I,4071,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Norte,Rondônia,RO,Cap I,398,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Norte,Acre,AC,Cap I,156,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Norte,Amazonas,AM,Cap I,1007,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Norte,Roraima,RR,Cap I,100,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Norte,Pará,PA,Cap I,1984,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Norte,Amapá,AP,Cap I,160,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Norte,Tocantins,TO,Cap I,266,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Regiao,Região Nordeste,,,Cap I,14914,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Maranhão,MA,Cap I,1646,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Piauí,PI,Cap I,718,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Ceará,CE,Cap I,2525,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,806,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Paraíba,PB,Cap I,1007,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Pernambuco,PE,Cap I,2798,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Alagoas,AL,Cap I,1009,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Sergipe,SE,Cap I,529,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Nordeste,Bahia,BA,Cap I,3876,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Regiao,Região Sudeste,,,Cap I,25030,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Sudeste,Minas Gerais,MG,Cap I,6097,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Sudeste,Espírito Santo,ES,Cap I,766,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,7466,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Sudeste,São Paulo,SP,Cap I,10701,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Regiao,Região Sul,,,Cap I,7188,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Sul,Paraná,PR,Cap I,2208,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Sul,Santa Catarina,SC,Cap I,1413,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,3567,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Regiao,Região Centro-Oeste,,,Cap I,3671,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,Cap I,594,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Centro-Oeste,Mato Grosso,MT,Cap I,741,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Centro-Oeste,Goiás,GO,Cap I,1778,A00–B99,Algumas doenças infecciosas e parasitárias
2017,Estado,Região Centro-Oeste,Distrito Federal,DF,Cap I,558,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Regiao,Região Norte,,,Cap I,4248,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Norte,Rondônia,RO,Cap I,395,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Norte,Acre,AC,Cap I,192,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Norte,Amazonas,AM,Cap I,974,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Norte,Roraima,RR,Cap I,144,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Norte,Pará,PA,Cap I,2128,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Norte,Amapá,AP,Cap I,162,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Norte,Tocantins,TO,Cap I,253,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Regiao,Região Nordeste,,,Cap I,14443,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Maranhão,MA,Cap I,1682,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Piauí,PI,Cap I,740,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Ceará,CE,Cap I,2265,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,878,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Paraíba,PB,Cap I,1061,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Pernambuco,PE,Cap I,2744,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Alagoas,AL,Cap I,854,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Sergipe,SE,Cap I,514,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Nordeste,Bahia,BA,Cap I,3705,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Regiao,Região Sudeste,,,Cap I,25240,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Sudeste,Minas Gerais,MG,Cap I,6170,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Sudeste,Espírito Santo,ES,Cap I,668,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,8021,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Sudeste,São Paulo,SP,Cap I,10381,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Regiao,Região Sul,,,Cap I,6974,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Sul,Paraná,PR,Cap I,2163,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Sul,Santa Catarina,SC,Cap I,1435,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,3376,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Regiao,Região Centro-Oeste,,,Cap I,3774,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,Cap I,555,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Centro-Oeste,Mato Grosso,MT,Cap I,836,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Centro-Oeste,Goiás,GO,Cap I,1802,A00–B99,Algumas doenças infecciosas e parasitárias
2018,Estado,Região Centro-Oeste,Distrito Federal,DF,Cap I,581,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Regiao,Região Norte,,,Cap I,4221,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Norte,Rondônia,RO,Cap I,340,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Norte,Acre,AC,Cap I,192,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Norte,Amazonas,AM,Cap I,983,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Norte,Roraima,RR,Cap I,130,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Norte,Pará,PA,Cap I,2164,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Norte,Amapá,AP,Cap I,184,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Norte,Tocantins,TO,Cap I,228,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Regiao,Região Nordeste,,,Cap I,15222,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Maranhão,MA,Cap I,1734,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Piauí,PI,Cap I,754,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Ceará,CE,Cap I,2375,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,884,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Paraíba,PB,Cap I,1092,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Pernambuco,PE,Cap I,2905,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Alagoas,AL,Cap I,916,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Sergipe,SE,Cap I,574,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Nordeste,Bahia,BA,Cap I,3988,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Regiao,Região Sudeste,,,Cap I,25701,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Sudeste,Minas Gerais,MG,Cap I,6290,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Sudeste,Espírito Santo,ES,Cap I,708,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,8147,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Sudeste,São Paulo,SP,Cap I,10556,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Regiao,Região Sul,,,Cap I,7571,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Sul,Paraná,PR,Cap I,2330,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Sul,Santa Catarina,SC,Cap I,1602,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,3639,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Regiao,Região Centro-Oeste,,,Cap I,3951,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,Cap I,635,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Centro-Oeste,Mato Grosso,MT,Cap I,828,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Centro-Oeste,Goiás,GO,Cap I,1833,A00–B99,Algumas doenças infecciosas e parasitárias
2019,Estado,Região Centro-Oeste,Distrito Federal,DF,Cap I,655,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Regiao,Região Norte,,,Cap I,24113,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Norte,Rondônia,RO,Cap I,2212,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Norte,Acre,AC,Cap I,1006,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Norte,Amazonas,AM,Cap I,6972,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Norte,Roraima,RR,Cap I,959,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Norte,Pará,PA,Cap I,10184,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Norte,Amapá,AP,Cap I,1292,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Norte,Tocantins,TO,Cap I,1488,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Regiao,Região Nordeste,,,Cap I,69227,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Maranhão,MA,Cap I,6733,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Piauí,PI,Cap I,3566,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Ceará,CE,Cap I,14149,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,3966,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Paraíba,PB,Cap I,4660,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Pernambuco,PE,Cap I,14119,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Alagoas,AL,Cap I,4543,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Sergipe,SE,Cap I,2870,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Nordeste,Bahia,BA,Cap I,14621,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Regiao,Região Sudeste,,,Cap I,122551,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Sudeste,Minas Gerais,MG,Cap I,19417,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Sudeste,Espírito Santo,ES,Cap I,5615,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,39263,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Sudeste,São Paulo,SP,Cap I,58256,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Regiao,Região Sul,,,Cap I,30276,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Sul,Paraná,PR,Cap I,11013,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Sul,Santa Catarina,SC,Cap I,6732,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,12531,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Regiao,Região Centro-Oeste,,,Cap I,21120,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,Cap I,2823,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Centro-Oeste,Mato Grosso,MT,Cap I,5207,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Centro-Oeste,Goiás,GO,Cap I,9320,A00–B99,Algumas doenças infecciosas e parasitárias
2020,Estado,Região Centro-Oeste,Distrito Federal,DF,Cap I,3770,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Norte,,,Cap I,35680,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Norte,Rondônia,RO,Cap I,5301,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Norte,Acre,AC,Cap I,1517,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Norte,Amazonas,AM,Cap I,10337,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Norte,Roraima,RR,Cap I,1412,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Norte,Pará,PA,Cap I,12777,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Norte,Amapá,AP,Cap I,1236,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Norte,Tocantins,TO,Cap I,3100,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Nordeste,,,Cap I,92273,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Maranhão,MA,Cap I,9142,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Piauí,PI,Cap I,5389,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Ceará,CE,Cap I,18254,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,5902,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Paraíba,PB,Cap I,7293,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Pernambuco,PE,Cap I,15786,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Alagoas,AL,Cap I,5262,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Sergipe,SE,Cap I,4051,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Bahia,BA,Cap I,21194,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Sudeste,,,Cap I,231051,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,Minas Gerais,MG,Cap I,50866,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,Espírito Santo,ES,Cap I,8128,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,49188,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,São Paulo,SP,Cap I,122869,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Sul,,,Cap I,83068,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sul,Paraná,PR,Cap I,35553,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sul,Santa Catarina,SC,Cap I,16491,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,31024,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Centro-Oeste,,,Cap I,44595,A00–B99,Algumas doenças infecciosas e parasitárias
