ano,dimensao,nivel,regiao,uf,sigla,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
2016,faixa_etaria,Regiao,Região Norte,,,4770,982,507,637,2543,6164,6171,6608,9037,11575,13742,16979,390,80105
2016,faixa_etaria,Estado,Região Norte,Rondônia,RO,357,62,30,56,182,468,617,756,1043,1416,1589,1736,32,8344
2016,faixa_etaria,Estado,Região Norte,Acre,AC,239,59,28,30,153,254,254,313,405,519,669,832,8,3763
2016,faixa_etaria,Estado,Região Norte,Amazonas,AM,1225,253,121,140,535,1380,1282,1290,1936,2373,2750,3434,80,16799
2016,faixa_etaria,Estado,Região Norte,Roraima,RR,210,55,17,26,67,185,157,191,242,330,297,375,5,2157
2016,faixa_etaria,Estado,Região Norte,Pará,PA,2157,435,230,306,1259,3138,3044,3157,4182,5520,6602,8282,245,38557
2016,faixa_etaria,Estado,Região Norte,Amapá,AP,284,50,36,30,154,258,243,277,370,380,430,483,0,2995
2016,faixa_etaria,Estado,Região Norte,Tocantins,TO,298,68,45,49,193,481,574,624,859,1037,1405,1837,20,7490
2016,faixa_etaria,Regiao,Região Nordeste,,,11505,1868,1097,1645,8014,19847,20679,25740,37909,51628,66171,100471,521,347095
2016,faixa_etaria,Estado,Região Nordeste,Maranhão,MA,1656,284,189,243,833,2355,2565,2688,3617,5023,6449,8409,51,34362
2016,faixa_etaria,Estado,Região Nordeste,Piauí,PI,763,113,72,96,333,995,1188,1328,2026,2837,3746,5658,32,19187
2016,faixa_etaria,Estado,Região Nordeste,Ceará,CE,1596,276,153,228,1250,2999,2994,3748,5505,7530,10322,17643,32,54276
2016,faixa_etaria,Estado,Região Nordeste,Rio Grande do Norte,RN,581,107,55,86,551,1355,1210,1523,2242,2988,4081,7141,2,21922
2016,faixa_etaria,Estado,Região Nordeste,Paraíba,PB,709,126,90,130,454,1122,1367,1954,2722,4137,5639,9586,5,28041
2016,faixa_etaria,Estado,Região Nordeste,Pernambuco,PE,1821,303,168,251,1292,3411,3525,4887,7610,10546,13650,19269,195,66928
2016,faixa_etaria,Estado,Região Nordeste,Alagoas,AL,689,130,71,111,629,1275,1289,1658,2415,3478,4057,4963,4,20769
2016,faixa_etaria,Estado,Região Nordeste,Sergipe,SE,495,73,40,79,390,960,935,1110,1562,1940,2424,3505,3,13516
2016,faixa_etaria,Estado,Região Nordeste,Bahia,BA,3195,456,259,421,2282,5375,5606,6844,10210,13149,15803,24297,197,88094
2016,faixa_etaria,Regiao,Região Sudeste,,,13193,2120,1065,1617,7013,18341,24493,39903,75079,107896,123630,179323,1900,595573
2016,faixa_etaria,Estado,Região Sudeste,Minas Gerais,MG,2912,507,297,465,1777,4763,6164,9823,16993,23192,27615,40663,86,135257
2016,faixa_etaria,Estado,Região Sudeste,Espírito Santo,ES,624,133,63,93,441,1029,1207,1736,2889,3782,4401,6453,17,22868
2016,faixa_etaria,Estado,Região Sudeste,Rio de Janeiro,RJ,2990,466,220,379,2210,5065,5481,8661,17334,26289,29111,41795,1088,141089
2016,faixa_etaria,Estado,Região Sudeste,São Paulo,SP,6667,1014,485,680,2585,7484,11641,19683,37863,54633,62503,90412,709,296359
2016,faixa_etaria,Regiao,Região Sul,,,3903,679,356,588,2498,6764,8172,13192,24920,36457,45181,59732,151,202593
