ano,nivel,regiao,uf,sigla,total_obitos
2016,Estado,Região Centro-Oeste,Distrito Federal,DF,12050
2016,Estado,Região Centro-Oeste,Goiás,GO,38074
2016,Estado,Região Centro-Oeste,Mato Grosso,MT,17535
2016,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,16749
2016,Estado,Região Nordeste,Alagoas,AL,20769
2016,Estado,Região Nordeste,Bahia,BA,88094
2016,Estado,Região Nordeste,Ceará,CE,54276
2016,Estado,Região Nordeste,Maranhão,MA,34362
2016,Estado,Região Nordeste,Paraíba,PB,28041
2016,Estado,Região Nordeste,Pernambuco,PE,66928
2016,Estado,Região Nordeste,Piauí,PI,19187
2016,Estado,Região Nordeste,Rio Grande do Norte,RN,21922
2016,Estado,Região Nordeste,Sergipe,SE,13516
2016,Estado,Região Norte,Acre,AC,3763
2016,Estado,Região Norte,Amapá,AP,2995
2016,Estado,Região Norte,Amazonas,AM,16799
2016,Estado,Região Norte,Pará,PA,38557
2016,Estado,Região Norte,Rondônia,RO,8344
2016,Estado,Região Norte,Roraima,RR,2157
2016,Estado,Região Norte,Tocantins,TO,7490
2016,Estado,Região Sudeste,Espírito Santo,ES,22868
2016,Estado,Região Sudeste,Minas Gerais,MG,135257
2016,Estado,Região Sudeste,Rio de Janeiro,RJ,141089
2016,Estado,Região Sudeste,São Paulo,SP,296359
2016,Estado,Região Sul,Paraná,PR,74740
2016,Estado,Região Sul,Rio Grande do Sul,RS,87583
2016,Estado,Região Sul,Santa Catarina,SC,40270
2016,Regiao,Região Centro-Oeste,,,84408
2016,Regiao,Região Nordeste,,,347095
2016,Regiao,Região Norte,,,80105
2016,Regiao,Região Sudeste,,,595573
2016,Regiao,Região Sul,,,202593
2017,Estado,Região Centro-Oeste,Distrito Federal,DF,12514
2017,Estado,Região Centro-Oeste,Goiás,GO,39973
2017,Estado,Região Centro-Oeste,Mato Grosso,MT,17709
2017,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,15954
2017,Estado,Região Nordeste,Alagoas,AL,20673
2017,Estado,Região Nordeste,Bahia,BA,90915
2017,Estado,Região Nordeste,Ceará,CE,59263
2017,Estado,Região Nordeste,Maranhão,MA,35275
2017,Estado,Região Nordeste,Paraíba,PB,26975
2017,Estado,Região Nordeste,Pernambuco,PE,64364
2017,Estado,Região Nordeste,Piauí,PI,19850
2017,Estado,Região Nordeste,Rio Grande do Norte,RN,21409
2017,Estado,Região Nordeste,Sergipe,SE,13321
2017,Estado,Região Norte,Acre,AC,3832
2017,Estado,Região Norte,Amapá,AP,3158
2017,Estado,Região Norte,Amazonas,AM,17281
2017,Estado,Região Norte,Pará,PA,39980
2017,Estado,Região Norte,Rondônia,RO,8219
2017,Estado,Região Norte,Roraima,RR,2461
2017,Estado,Região Norte,Tocantins,TO,8052
2017,Estado,Região Sudeste,Espírito Santo,ES,24112
2017,Estado,Região Sudeste,Minas Gerais,MG,138118
2017,Estado,Região Sudeste,Rio de Janeiro,RJ,136709
2017,Estado,Região Sudeste,São Paulo,SP,294753
2017,Estado,Região Sul,Paraná,PR,71633
2017,Estado,Região Sul,Rio Grande do Sul,RS,86241
2017,Estado,Região Sul,Santa Catarina,SC,39919
