ano,dimensao,Região/Unidade da Federação,Hospital,Outro estabelecimento de saúde,Domicílio,Via pública,Outros,Ignorado,Total
2016,local_ocorrencia,Região Norte,50245,1605,17505,6276,4236,238,80105
2016,local_ocorrencia,.. Rondônia,5757,95,1436,717,323,16,8344
2016,local_ocorrencia,.. Acre,2497,14,766,270,213,3,3763
2016,local_ocorrencia,.. Amazonas,10866,188,3906,1061,771,7,16799
2016,local_ocorrencia,.. Roraima,1336,34,466,96,208,17,2157
2016,local_ocorrencia,.. Pará,23080,1149,8694,3323,2135,176,38557
2016,local_ocorrencia,.. Amapá,2141,20,495,145,191,3,2995
2016,local_ocorrencia,.. Tocantins,4568,105,1742,664,395,16,7490
2016,local_ocorrencia,Região Nordeste,207735,11078,91912,23598,12269,503,347095
2016,local_ocorrencia,.. Maranhão,19378,1460,9736,2444,1279,65,34362
2016,local_ocorrencia,.. Piauí,10989,120,6218,1207,614,39,19187
2016,local_ocorrencia,.. Ceará,30588,1906,15833,3505,2380,64,54276
2016,local_ocorrencia,.. Rio Grande do Norte,12754,991,5835,1604,698,40,21922
2016,local_ocorrencia,.. Paraíba,17323,565,7799,1456,876,22,28041
2016,local_ocorrencia,.. Pernambuco,43305,1871,15320,4642,1752,38,66928
2016,local_ocorrencia,.. Alagoas,12832,363,5257,1857,451,9,20769
2016,local_ocorrencia,.. Sergipe,8263,156,3451,1400,241,5,13516
2016,local_ocorrencia,.. Bahia,52303,3646,22463,5483,3978,221,88094
2016,local_ocorrencia,Região Sudeste,421494,46612,92630,16797,17585,455,595573
2016,local_ocorrencia,.. Minas Gerais,89535,11212,24834,5260,4203,213,135257
2016,local_ocorrencia,.. Espírito Santo,16138,1053,3808,1207,598,64,22868
2016,local_ocorrencia,.. Rio de Janeiro,97274,16448,18909,3204,5225,29,141089
2016,local_ocorrencia,.. São Paulo,218547,17899,45079,7126,7559,149,296359
2016,local_ocorrencia,Região Sul,141483,6255,39864,8108,6797,86,202593
2016,local_ocorrencia,.. Paraná,49091,3578,16369,3366,2310,26,74740
2016,local_ocorrencia,.. Santa Catarina,28197,918,8083,1546,1511,15,40270
2016,local_ocorrencia,.. Rio Grande do Sul,64195,1759,15412,3196,2976,45,87583
2016,local_ocorrencia,Região Centro-Oeste,58042,3536,14223,5195,3357,55,84408
2016,local_ocorrencia,.. Mato Grosso do Sul,11336,710,3163,790,747,3,16749
2016,local_ocorrencia,.. Mato Grosso,11708,792,2961,1225,832,17,17535
2016,local_ocorrencia,.. Goiás,26041,1583,6399,2498,1522,31,38074
2016,local_ocorrencia,.. Distrito Federal,8957,451,1700,682,256,4,12050
2016,local_ocorrencia,Total,878999,69086,256134,59974,44244,1337,1309774
2017,local_ocorrencia,Região Norte,51605,1806,18241,6455,4614,262,82983
2017,local_ocorrencia,.. Rondônia,5756,94,1416,606,329,18,8219
2017,local_ocorrencia,.. Acre,2401,14,809,329,273,6,3832
2017,local_ocorrencia,.. Amazonas,11170,170,3992,1032,893,24,17281
2017,local_ocorrencia,.. Roraima,1504,29,514,140,268,6,2461
2017,local_ocorrencia,.. Pará,23740,1311,8981,3507,2246,195,39980
2017,local_ocorrencia,.. Amapá,2243,41,532,153,187,2,3158
2017,local_ocorrencia,.. Tocantins,4791,147,1997,688,418,11,8052
2017,local_ocorrencia,Região Nordeste,207386,14581,92648,24280,12780,370,352045
2017,local_ocorrencia,.. Maranhão,20582,1383,9738,2120,1400,52,35275
2017,local_ocorrencia,.. Piauí,11432,144,6584,1068,605,17,19850
2017,local_ocorrencia,.. Ceará,32691,2545,16804,4771,2383,69,59263
2017,local_ocorrencia,.. Rio Grande do Norte,12311,1076,5482,1786,725,29,21409
2017,local_ocorrencia,.. Paraíba,16509,587,7455,1463,929,32,26975
2017,local_ocorrencia,.. Pernambuco,39781,3418,14412,4578,2135,40,64364
2017,local_ocorrencia,.. Alagoas,12660,446,5171,1758,622,16,20673
2017,local_ocorrencia,.. Sergipe,8130,179,3561,1200,247,4,13321
2017,local_ocorrencia,.. Bahia,53290,4803,23441,5536,3734,111,90915
2017,local_ocorrencia,Região Sudeste,417368,48509,93473,16671,17280,391,593692
2017,local_ocorrencia,.. Minas Gerais,91314,11232,26291,5107,4005,169,138118
2017,local_ocorrencia,.. Espírito Santo,16715,1088,4103,1431,695,80,24112
2017,local_ocorrencia,.. Rio de Janeiro,92738,17236,18395,3244,5071,25,136709
