capitulo,intervalo_codigos,descricao
Cap I,A00–B99,Algumas doenças infecciosas e parasitárias
Cap II,C00–D48,Neoplasias (tumores e cânceres)
Cap III,D50–D89,Doenças do sangue e dos órgãos hematopoéticos e transtornos imunitários
Cap IV,E00–E90,"Doenças endócrinas, nutricionais e metabólicas (ex: Diabetes)"
Cap V,F00–F99,Transtornos mentais e de comportamento
Cap VI,G00–G99,Doenças do sistema nervoso
Cap VII,H00–H59,Doenças do olho e anexos
Cap VIII,H60–H95,Doenças do ouvido e da apófise mastóide
Cap IX,I00–I99,"Doenças do aparelho circulatório (ex: Infarto, Hipertensão)"
Cap X,J00–J99,"Doenças do aparelho respiratório (ex: Pneumonia, Asma)"
Cap XI,K00–K93,Doenças do aparelho digestivo
Cap XII,L00–L99,Doenças da pele e do tecido subcutâneo
Cap XIII,M00–M99,Doenças do sistema osteomuscular e do tecido conjuntivo
Cap XIV,N00–N99,Doenças do aparelho geniturinário
Cap XV,O00–O99,"Gravidez, parto e puerpério"
Cap XVI,P00–P96,Algumas afecções originadas no período perinatal
Cap XVII,Q00–Q99,"Malformações congênitas, deformidades e anomalias cromossômicas"
Cap XVIII,R00–R99,"Sintomas, sinais e achados anormais de exames clínicos e laboratoriais"
Cap XIX,S00–T98,"Lesões, envenenamento e outras consequências de causas externas"
Cap XX,V01–Y98,"Causas externas de morbidade e mortalidade (ex: acidentes, violência)"
Cap XXI,Z00–Z99,Fatores que influenciam o estado de saúde e o contato com serviços de saúde
Cap XXII,U00–U99,Códigos para fins especiais (ex: novos vírus como a COVID-19)
