 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2019
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";9;1141;445;798;653;610;171;1855;5682
".. Rondônia";-;80;23;61;31;40;6;126;367
".. Acre";2;38;20;60;41;41;5;109;316
".. Amazonas";4;319;111;152;180;158;77;487;1488
".. Roraima";-;38;8;34;44;86;10;108;328
".. Pará";3;520;241;415;278;212;57;765;2491
".. Amapá";-;87;20;41;46;30;7;116;347
".. Tocantins";-;59;22;35;33;43;9;144;345
"Região Nordeste";10;2951;1112;2166;1068;902;259;4267;12735
".. Maranhão";2;439;184;309;206;171;43;566;1920
".. Piauí";-;217;74;105;68;33;29;277;803
".. Ceará";-;372;173;306;135;129;36;685;1836
".. Rio Grande do Norte";1;173;46;105;49;48;6;203;631
".. Paraíba";-;195;59;173;84;53;15;294;873
".. Pernambuco";2;520;140;259;140;199;25;596;1881
".. Alagoas";2;153;60;159;71;45;7;284;781
".. Sergipe";-;158;77;92;46;33;11;211;628
".. Bahia";3;724;299;658;269;191;87;1151;3382
"Região Sudeste";20;3564;1196;2318;1216;1005;231;5229;14779
".. Minas Gerais";4;808;255;566;235;227;109;1239;3443
".. Espírito Santo";1;175;53;76;66;63;-;259;693
".. Rio de Janeiro";6;791;268;399;342;274;31;1069;3180
".. São Paulo";9;1790;620;1277;573;441;91;2662;7463
"Região Sul";4;1259;357;555;288;351;35;1710;4559
".. Paraná";3;559;122;170;105;162;13;731;1865
".. Santa Catarina";-;270;78;166;80;67;12;395;1068
".. Rio Grande do Sul";1;430;157;219;103;122;10;584;1626
"Região Centro-Oeste";1;781;237;449;289;298;55;1250;3360
".. Mato Grosso do Sul";-;98;46;89;40;67;13;220;573
".. Mato Grosso";-;171;53;139;103;89;21;314;890
".. Goiás";1;349;110;199;116;104;20;562;1461
".. Distrito Federal";-;163;28;22;30;38;1;154;436
"Total";44;9696;3347;6286;3514;3166;751;14311;41115
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
