 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2019
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";328;85;51;128;-;116;1;2;73;567;75;15;2;27;2532;1097;235;348;5682
".. Rondônia";17;5;3;6;-;8;1;-;5;21;8;-;-;1;166;82;9;35;367
".. Acre";20;7;3;21;-;6;-;-;4;45;10;1;-;4;122;51;9;13;316
".. Amazonas";93;22;8;39;-;31;-;-;8;154;15;5;-;7;644;313;72;77;1488
".. Roraima";27;2;1;21;-;13;-;-;8;36;2;1;-;-;88;66;14;49;328
".. Pará";135;35;23;33;-;47;-;1;39;239;31;8;2;13;1237;420;104;124;2491
".. Amapá";19;8;8;1;-;7;-;1;7;45;4;-;-;-;150;62;15;20;347
".. Tocantins";17;6;5;7;-;4;-;-;2;27;5;-;-;2;125;103;12;30;345
"Região Nordeste";581;206;112;176;3;283;1;2;189;767;159;14;14;70;6510;2716;367;565;12735
".. Maranhão";113;21;21;28;2;39;1;1;33;162;19;2;-;10;978;317;72;101;1920
".. Piauí";27;23;6;16;-;18;-;-;11;57;11;-;1;3;405;184;27;14;803
".. Ceará";81;39;17;30;1;57;-;-;32;94;23;3;3;13;904;432;32;75;1836
".. Rio Grande do Norte";22;18;4;5;-;13;-;-;9;32;10;3;-;13;337;112;13;40;631
".. Paraíba";27;15;6;12;-;17;-;-;16;65;9;3;2;6;440;195;28;32;873
".. Pernambuco";89;17;11;22;-;27;-;-;13;99;16;1;2;6;927;487;24;140;1881
".. Alagoas";46;18;8;11;-;25;-;-;20;54;11;-;1;2;379;171;17;18;781
".. Sergipe";26;10;5;4;-;12;-;-;8;39;14;2;1;3;342;135;7;20;628
".. Bahia";150;45;34;48;-;75;-;1;47;165;46;-;4;14;1798;683;147;125;3382
"Região Sudeste";544;232;127;139;-;400;1;3;203;901;173;8;13;66;7405;3337;434;793;14779
".. Minas Gerais";124;52;30;42;-;89;1;-;41;147;38;1;5;14;1769;803;126;161;3443
".. Espírito Santo";18;18;5;7;-;12;-;1;12;62;8;1;-;3;307;182;3;54;693
".. Rio de Janeiro";182;41;32;27;-;96;-;2;50;265;29;4;3;13;1473;646;97;220;3180
".. São Paulo";220;121;60;63;-;203;-;-;100;427;98;2;5;36;3856;1706;208;358;7463
"Região Sul";121;80;23;34;-;114;-;1;57;191;33;4;2;14;2240;1223;138;284;4559
".. Paraná";51;32;11;15;-;51;-;1;30;63;18;-;1;7;880;520;55;130;1865
".. Santa Catarina";31;17;10;8;-;29;-;-;12;54;6;3;1;6;535;269;36;51;1068
".. Rio Grande do Sul";39;31;2;11;-;34;-;-;15;74;9;1;-;1;825;434;47;103;1626
"Região Centro-Oeste";156;40;33;46;-;86;-;-;41;214;42;3;2;22;1568;835;72;200;3360
".. Mato Grosso do Sul";25;7;1;11;-;13;-;-;14;37;11;1;-;2;252;132;21;46;573
".. Mato Grosso";63;6;15;17;-;17;-;-;10;70;12;-;1;9;396;198;22;54;890
".. Goiás";50;21;14;12;-;42;-;-;12;89;14;2;1;8;705;395;23;73;1461
".. Distrito Federal";18;6;3;6;-;14;-;-;5;18;5;-;-;3;215;110;6;27;436
"Total";1730;643;346;523;3;999;3;8;563;2640;482;44;33;199;20255;9208;1246;2190;41115
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
