 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2017
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"Total"
"Região Norte";2534;726;1563;2;904;5729
".. Rondônia";170;60;123;-;52;405
".. Acre";103;42;78;-;49;272
".. Amazonas";672;162;457;1;247;1539
".. Roraima";89;28;93;-;41;251
".. Pará";1195;340;600;1;389;2525
".. Amapá";134;55;113;-;65;367
".. Tocantins";171;39;99;-;61;370
"Região Nordeste";6519;1736;3234;1;1807;13297
".. Maranhão";1028;239;520;-;308;2095
".. Piauí";396;107;254;-;108;865
".. Ceará";925;250;512;1;267;1955
".. Rio Grande do Norte";302;91;176;-;103;672
".. Paraíba";426;123;215;-;109;873
".. Pernambuco";911;267;470;-;290;1938
".. Alagoas";342;106;227;-;128;803
".. Sergipe";281;120;120;-;62;583
".. Bahia";1908;433;740;-;432;3513
"Região Sudeste";6671;2498;3857;2;2060;15088
".. Minas Gerais";1599;529;854;-;505;3487
".. Espírito Santo";326;104;166;-;110;706
".. Rio de Janeiro";1380;532;857;1;460;3230
".. São Paulo";3366;1333;1980;1;985;7665
"Região Sul";2133;761;1140;-;633;4667
".. Paraná";871;310;452;-;226;1859
".. Santa Catarina";549;177;250;-;144;1120
".. Rio Grande do Sul";713;274;438;-;263;1688
"Região Centro-Oeste";1532;498;815;1;514;3360
".. Mato Grosso do Sul";280;67;126;-;93;566
".. Mato Grosso";351;141;228;-;165;885
".. Goiás";617;209;332;1;179;1338
".. Distrito Federal";284;81;129;-;77;571
"Total";19389;6219;10609;6;5918;42141
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
