 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2024
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";2816;2240;21;5077
".. Rondônia";199;163;-;362
".. Acre";166;131;1;298
".. Amazonas";725;558;4;1287
".. Roraima";172;125;3;300
".. Pará";1215;975;9;2199
".. Amapá";134;128;2;264
".. Tocantins";205;160;2;367
"Região Nordeste";5723;4680;82;10485
".. Maranhão";872;639;12;1523
".. Piauí";328;308;9;645
".. Ceará";772;591;10;1373
".. Rio Grande do Norte";290;248;8;546
".. Paraíba";386;324;3;713
".. Pernambuco";911;809;15;1735
".. Alagoas";415;313;1;729
".. Sergipe";235;199;2;436
".. Bahia";1514;1249;22;2785
"Região Sudeste";6939;5557;32;12528
".. Minas Gerais";1618;1343;5;2966
".. Espírito Santo";383;313;2;698
".. Rio de Janeiro";1386;1173;5;2564
".. São Paulo";3552;2728;20;6300
"Região Sul";2354;1864;14;4232
".. Paraná";967;734;6;1707
".. Santa Catarina";640;526;4;1170
".. Rio Grande do Sul";747;604;4;1355
"Região Centro-Oeste";1792;1529;8;3329
".. Mato Grosso do Sul";325;274;-;599
".. Mato Grosso";513;462;2;977
".. Goiás";723;603;6;1332
".. Distrito Federal";231;190;-;421
"Total";19624;15870;157;35651
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
