 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Capítulo CID-10
Período:2022
"País de residência";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"25   POLONIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"110  GUATEMALA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"40   VIETNA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"45   ESTADOS UNIDOS";1;3;-;-;-;-;3;2;-;-;-;-;-;-;2;1;12
"38   REINO UNIDO";1;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;5
"68   BOLIVIA";15;12;2;2;-;1;10;4;5;2;-;1;12;6;4;11;87
"81   QUIRGUISTAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"84   SURINAME";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"2    GABAO";-;1;-;-;1;1;1;1;-;-;1;-;-;-;-;-;6
"3    GEORGIA";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;3
"6    MARROCOS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"7    PERU";4;2;-;1;-;-;-;-;-;-;-;2;4;1;1;1;16
"9    SUICA";-;-;-;1;-;-;2;-;1;-;-;-;-;-;1;-;5
"10   TURCOMENISTAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"11   SOMALIA";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"14   CAZAQUISTAO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"19   ITALIA";-;1;-;1;-;-;1;1;-;-;-;-;-;-;1;-;5
"21   MEXICO";1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3
"29   TAIWAN (ILHA FORMOSA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"32   ARGENTINA";4;3;1;2;1;-;8;1;1;-;-;-;1;-;7;16;45
"33   BRUNEI";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"37   PAISES BAIXOS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"39   UCRANIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;3
"41   ALEMANHA";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"44   ESPANHA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;5
"46   FRANCA";1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;4
"49   RUSSIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"54   ISRAEL";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"55   JAPAO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"75   LIBANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"83   SUAZILANDIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"92   AUSTRALIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"96   CANADA";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"101  DOMINICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"107  FILIPINAS";1;-;-;1;-;-;6;-;-;-;-;-;-;-;-;3;11
"111  GUIANA FRANCESA";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"120  MALAVI";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"126  PARAGUAI";10;19;2;2;-;2;29;14;4;3;-;2;8;4;6;22;127
"127  QUENIA";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"128  REPUBLICA CENTRO-AFRICANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"135  SRI LANKA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"136  TURQUIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"137  URUGUAI";2;1;-;-;-;-;2;1;-;-;-;-;-;-;1;7;14
"138  VENEZUELA";3;2;1;2;-;-;5;-;1;-;1;-;4;-;-;3;22
"143  AUSTRIA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"151  COLOMBIA";-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;5;9
"155  CROACIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"157  EMIRADOS ARABES UNIDOS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"164  INDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"165  INDONESIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"175  NICARAGUA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"182  PORTUGAL";-;1;-;-;-;-;3;-;-;-;-;-;-;-;1;1;6
"192  CHILE";-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"193  REPUBLICA POPULAR DA CHINA";-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"199  GUIANA";-;1;-;-;-;-;-;1;-;-;-;-;2;2;-;2;8
"0    IGNORADO/BRANCO";-;2;-;-;-;2;1;-;-;-;-;-;-;-;-;-;5
"Total";46;59;6;14;3;7;93;30;14;5;2;5;33;13;33;87;450
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
