 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Capítulo CID-10
Período:2024
"País de residência";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"208  ARUBA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"25   POLONIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"119  MACEDONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"40   VIETNA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"45   ESTADOS UNIDOS";-;-;-;-;-;4;1;-;-;-;-;-;-;-;3;6;14
"38   REINO UNIDO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
"68   BOLIVIA";16;29;1;5;4;20;7;10;1;-;5;1;6;2;5;18;130
"71   EQUADOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"81   QUIRGUISTAO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"84   SURINAME";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"113  GUINE EQUATORIAL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"2    GABAO";-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3
"3    GEORGIA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;1;5
"4    IEMEM";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"5    LIBIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"7    PERU";1;1;-;-;-;2;2;2;-;-;1;-;-;-;1;-;10
"9    SUICA";-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;3
"11   SOMALIA";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"16   IRAQUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"19   ITALIA";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"21   MEXICO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"22   MOCAMBIQUE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"24   NORUEGA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2
"32   ARGENTINA";3;2;-;3;1;6;3;1;-;1;1;-;1;-;4;20;46
"33   BRUNEI";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"37   PAISES BAIXOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"41   ALEMANHA";-;-;-;-;-;2;3;1;-;-;-;-;-;-;-;-;6
"43   BELGICA";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2
"44   ESPANHA";-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;1;6
