 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Capítulo CID-10
Período:2023
"País de residência";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"110  GUATEMALA";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"45   ESTADOS UNIDOS";-;2;-;-;-;2;5;1;-;-;-;-;-;-;-;2;4;16
"38   REINO UNIDO";-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;4
"68   BOLIVIA";9;33;1;7;-;3;20;9;2;1;-;2;-;10;1;4;10;112
"91   TUNISIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"121  MAURITANIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"2    GABAO";-;2;-;-;-;-;1;-;1;-;-;2;-;-;-;-;-;6
"3    GEORGIA";-;3;-;-;1;-;2;2;-;-;1;-;-;-;-;-;1;10
"4    IEMEM";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"6    MARROCOS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"7    PERU";-;4;-;-;-;-;1;-;1;-;-;1;1;1;-;2;6;17
"9    SUICA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"11   SOMALIA";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2
"14   CAZAQUISTAO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"17   IRLANDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"18   ISLANDIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"19   ITALIA";1;1;-;-;-;-;3;-;-;-;-;-;-;-;-;1;4;10
"21   MEXICO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"24   NORUEGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"32   ARGENTINA";3;1;1;-;-;-;12;3;2;-;-;1;-;-;-;2;19;44
"33   BRUNEI";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"39   UCRANIA";2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;5
"41   ALEMANHA";1;-;-;-;-;-;3;-;-;-;-;1;-;-;-;1;1;7
"43   BELGICA";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"44   ESPANHA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"46   FRANCA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;3;6
"48   ROMENIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"49   RUSSIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"51   ZAIRE";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"55   JAPAO";1;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;5
"58   GUADALUPE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"62   MYANMAR";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
