 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Capítulo CID-10
Período:2026
"País de residência";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"25   POLONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"40   VIETNA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"45   ESTADOS UNIDOS";-;1;-;-;-;-;2;1;-;-;-;-;-;-;1;5
"38   REINO UNIDO";-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;4
"68   BOLIVIA";3;15;1;-;1;-;6;4;4;3;-;2;1;1;8;49
"71   EQUADOR";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;3
"113  GUINE EQUATORIAL";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"2    GABAO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"7    PERU";-;1;-;1;-;-;2;2;2;1;-;2;-;-;2;13
"9    SUICA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"14   CAZAQUISTAO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"18   ISLANDIA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"19   ITALIA";1;-;-;-;-;-;3;-;-;-;-;-;-;1;-;5
"21   MEXICO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"32   ARGENTINA";-;1;-;3;-;-;20;1;1;-;-;-;1;2;14;43
"33   BRUNEI";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"37   PAISES BAIXOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"41   ALEMANHA";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"44   ESPANHA";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"46   FRANCA";-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;3
"48   ROMENIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"50   SIRIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"51   ZAIRE";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"54   ISRAEL";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"59   ANTILHAS HOLANDESAS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"96   CANADA";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"107  FILIPINAS";-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;3
"126  PARAGUAI";-;10;1;3;-;1;4;2;1;-;-;4;2;-;17;45
"130  ILHAS SALOMAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"137  URUGUAI";-;-;-;-;-;-;2;-;1;-;-;-;-;2;4;9
"138  VENEZUELA";2;2;-;1;-;-;2;-;1;-;1;-;1;1;1;12
"143  AUSTRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"147  BOSNIA-HERZEGOVINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"151  COLOMBIA";-;1;-;-;-;-;1;-;-;1;-;-;-;-;4;7
"155  CROACIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"164  INDIA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"182  PORTUGAL";-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;3
"192  CHILE";-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;4
"196  DINAMARCA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"199  GUIANA";3;1;2;1;-;-;2;3;1;-;-;-;-;-;2;15
"205  RUANDA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"0    IGNORADO/BRANCO";-;2;-;1;-;-;-;2;1;1;-;-;-;1;2;10
"Total";11;38;4;10;3;1;58;21;13;8;1;8;6;14;65;261
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
