 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Faixa Etária
Período:2016
"País de residência";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"116  IRA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"45   ESTADOS UNIDOS";-;-;-;-;-;-;-;2;3;-;1;-;-;6
"38   REINO UNIDO";1;-;-;-;-;-;-;-;-;1;1;-;-;3
"215  ILHA NORFOLK";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"68   BOLIVIA";15;2;2;1;1;8;5;9;10;7;3;3;9;75
"71   EQUADOR";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"2    GABAO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"3    GEORGIA";-;-;-;-;-;-;-;1;-;1;2;2;-;6
"7    PERU";-;-;-;-;-;1;1;1;-;1;1;-;2;7
"9    SUICA";-;-;-;-;-;-;-;-;1;3;-;-;-;4
"11   SOMALIA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"19   ITALIA";-;-;-;-;-;-;-;-;2;3;-;-;-;5
"21   MEXICO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"23   SUECIA";-;-;-;-;-;1;-;-;-;1;1;-;-;3
"24   NORUEGA";-;-;-;-;-;-;-;1;1;1;-;-;-;3
"26   REPUBLICA TCHECA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"31   ANGOLA";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"32   ARGENTINA";1;-;1;-;3;5;7;4;10;6;10;5;1;53
"33   BRUNEI";-;-;-;1;-;-;-;1;-;1;-;-;-;3
"37   PAISES BAIXOS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"39   UCRANIA";-;-;-;-;-;-;-;-;3;-;-;-;-;3
"41   ALEMANHA";-;-;-;-;-;-;1;3;1;4;-;1;-;10
"43   BELGICA";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"46   FRANCA";1;-;-;-;-;1;-;-;2;2;1;1;-;8
"48   ROMENIA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"49   RUSSIA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"55   JAPAO";-;-;-;-;-;-;-;-;-;1;2;-;-;3
"62   MYANMAR";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"63   NAURU";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"67   BELIZE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"92   AUSTRALIA";-;-;-;-;-;1;-;-;-;-;-;2;-;3
"96   CANADA";-;-;-;-;-;-;-;1;1;1;-;1;-;4
"107  FILIPINAS";-;-;-;-;-;1;-;-;3;-;-;-;-;4
"126  PARAGUAI";10;-;2;1;1;21;11;13;10;10;12;12;10;113
"127  QUENIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"136  TURQUIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"137  URUGUAI";-;-;-;-;1;1;1;1;4;2;2;2;-;14
"138  VENEZUELA";12;5;-;1;4;8;3;6;4;2;3;1;9;58
"140  AFRICA DO SUL";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"143  AUSTRIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"151  COLOMBIA";-;-;-;-;-;10;9;4;1;1;-;-;-;25
"155  CROACIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"164  INDIA";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"170  MADAGASCAR";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"171  MALASIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"182  PORTUGAL";-;-;-;-;-;-;2;-;1;-;3;1;1;8
"190  ZAMBIA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"192  CHILE";-;-;1;-;1;-;-;-;2;1;-;-;-;5
"193  REPUBLICA POPULAR DA CHINA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"199  GUIANA";3;-;1;2;2;-;-;1;-;-;1;1;2;13
"Total";44;7;7;6;13;59;45;56;60;54;46;37;34;468
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
