 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2016
"País de residência";"Masc";"Fem";"Ign";"Total"
"116  IRA";1;-;-;1
"45   ESTADOS UNIDOS";5;1;-;6
"38   REINO UNIDO";1;2;-;3
"215  ILHA NORFOLK";-;1;-;1
"68   BOLIVIA";40;34;1;75
"71   EQUADOR";1;-;-;1
"2    GABAO";1;-;-;1
"3    GEORGIA";4;2;-;6
"7    PERU";4;3;-;7
"9    SUICA";3;1;-;4
"11   SOMALIA";-;1;-;1
"19   ITALIA";5;-;-;5
"21   MEXICO";1;-;-;1
"23   SUECIA";1;2;-;3
"24   NORUEGA";3;-;-;3
"26   REPUBLICA TCHECA";-;1;-;1
"31   ANGOLA";1;1;-;2
"32   ARGENTINA";29;24;-;53
"33   BRUNEI";1;2;-;3
"37   PAISES BAIXOS";1;-;-;1
"39   UCRANIA";3;-;-;3
"41   ALEMANHA";8;2;-;10
"43   BELGICA";2;-;-;2
"46   FRANCA";6;2;-;8
"48   ROMENIA";1;-;-;1
"49   RUSSIA";1;-;-;1
"55   JAPAO";2;1;-;3
"62   MYANMAR";1;-;-;1
"63   NAURU";-;1;-;1
"67   BELIZE";1;-;-;1
"92   AUSTRALIA";1;2;-;3
"96   CANADA";3;1;-;4
"107  FILIPINAS";4;-;-;4
"126  PARAGUAI";78;35;-;113
"127  QUENIA";1;-;-;1
"136  TURQUIA";1;-;-;1
"137  URUGUAI";11;3;-;14
"138  VENEZUELA";32;26;-;58
"140  AFRICA DO SUL";1;1;-;2
"143  AUSTRIA";1;-;-;1
"151  COLOMBIA";23;2;-;25
"155  CROACIA";1;-;-;1
"164  INDIA";2;-;-;2
"170  MADAGASCAR";1;-;-;1
"171  MALASIA";1;-;-;1
"182  PORTUGAL";7;1;-;8
"190  ZAMBIA";-;1;-;1
"192  CHILE";4;1;-;5
"193  REPUBLICA POPULAR DA CHINA";1;-;-;1
"199  GUIANA";4;9;-;13
"Total";304;163;1;468
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
