 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2025
"País de residência";"Masc";"Fem";"Total"
"25   POLONIA";2;1;3
"110  GUATEMALA";2;3;5
"45   ESTADOS UNIDOS";23;8;31
"38   REINO UNIDO";5;-;5
"68   BOLIVIA";60;49;109
"71   EQUADOR";1;-;1
"84   SURINAME";2;-;2
"2    GABAO";2;1;3
"3    GEORGIA";5;3;8
"4    IEMEM";1;-;1
"5    LIBIA";1;-;1
"6    MARROCOS";1;1;2
"7    PERU";13;7;20
"9    SUICA";5;2;7
"11   SOMALIA";2;-;2
"19   ITALIA";4;-;4
"20   LIECHTENSTEIN";1;-;1
"22   MOCAMBIQUE";-;1;1
"23   SUECIA";1;-;1
"26   REPUBLICA TCHECA";1;-;1
"31   ANGOLA";1;2;3
"32   ARGENTINA";56;24;80
"33   BRUNEI";-;1;1
"34   COREIA DO SUL";2;-;2
"39   UCRANIA";4;-;4
"41   ALEMANHA";5;-;5
"43   BELGICA";3;-;3
"44   ESPANHA";3;1;4
"46   FRANCA";7;3;10
"49   RUSSIA";1;-;1
"50   SIRIA";1;-;1
"55   JAPAO";1;-;1
"62   MYANMAR";1;-;1
"65   ALBANIA";-;1;1
"67   BELIZE";-;1;1
"75   LIBANO";1;-;1
"90   TRINIDAD E TOBAGO";-;1;1
"92   AUSTRALIA";2;-;2
"96   CANADA";3;1;4
"98   CHADE";2;-;2
"107  FILIPINAS";6;-;6
"112  GUINE-BISSAU";-;1;1
"126  PARAGUAI";79;42;121
"129  REPUBLICA DOMINICANA";1;1;2
"131  SAMOA OCIDENTAL";-;1;1
"133  SENEGAL";1;-;1
"137  URUGUAI";18;2;20
"138  VENEZUELA";19;15;34
"140  AFRICA DO SUL";2;1;3
"143  AUSTRIA";1;-;1
"147  BOSNIA-HERZEGOVINA";2;-;2
"148  BULGARIA";1;-;1
"151  COLOMBIA";20;2;22
"156  CUBA";-;2;2
"164  INDIA";3;-;3
"165  INDONESIA";1;-;1
"171  MALASIA";1;-;1
"177  NIGERIA";1;-;1
"182  PORTUGAL";1;4;5
"192  CHILE";8;2;10
"193  REPUBLICA POPULAR DA CHINA";4;-;4
"199  GUIANA";16;10;26
"0    IGNORADO/BRANCO";12;15;27
"Total";422;209;631
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
