 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2017
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";4071;11473;459;5942;465;1458;4;16;18976;8052;3627;317;342;1960;254;2709;1193;5876;15789;82983
".. Rondônia";398;1282;46;548;60;191;3;1;1992;845;350;13;18;246;22;162;115;469;1458;8219
".. Acre";156;574;27;239;29;60;-;-;856;484;168;12;22;71;8;122;45;139;820;3832
".. Amazonas";1007;2654;82;1156;61;266;-;3;3136;1493;697;55;105;405;53;659;297;2147;3005;17281
".. Roraima";100;360;10;215;8;39;-;2;525;179;129;15;7;66;6;84;51;75;590;2461
".. Pará";1984;5031;249;2873;187;697;1;6;9366;4164;1788;184;146;934;132;1336;502;2686;7714;39980
".. Amapá";160;430;14;202;8;50;-;2;620;321;130;12;13;67;7;180;68;240;634;3158
".. Tocantins";266;1142;31;709;112;155;-;2;2481;566;365;26;31;171;26;166;115;120;1568;8052
"Região Nordeste";14914;49296;2038;26038;3731;7813;4;50;95582;36149;17637;1951;1575;8888;574;7145;3112;22565;52983;352045
".. Maranhão";1646;4317;243;2782;268;598;1;7;10876;3220;1699;166;118;747;98;1135;407;1871;5076;35275
".. Piauí";718;2812;119;1445;218;449;1;4;6443;2068;1023;89;66;424;39;431;213;874;2414;19850
".. Ceará";2525;9162;297;2911;726;1719;-;9;15568;7770;2855;425;375;1345;86;1007;503;2173;9807;59263
".. Rio Grande do Norte";806;3418;131;1729;194;605;1;4;5534;2181;1124;151;114;611;35;347;195;649;3580;21409
".. Paraíba";1007;3832;133;2242;227;651;-;4;7865;3120;1336;150;181;822;40;469;229;1572;3095;26975
".. Pernambuco";2798;9012;305;4959;606;1487;1;8;18110;7588;3443;330;275;2003;103;952;569;2045;9770;64364
".. Alagoas";1009;2405;105;2073;226;339;-;3;6236;1956;1151;83;82;455;16;397;184;820;3133;20673
".. Sergipe";529;1825;71;1080;342;330;-;4;3130;1026;664;113;57;411;20;359;114;923;2323;13321
".. Bahia";3876;12513;634;6817;924;1635;-;7;21820;7220;4342;444;307;2070;137;2048;698;11638;13785;90915
"Região Sudeste";25030;104604;2965;30703;5807;19020;11;82;167849;77599;30518;3096;2877;22131;730;7601;4220;33915;54934;593692
".. Minas Gerais";6097;23234;853;7679;2341;4491;3;19;35055;17738;6809;622;779;4552;127;1773;1039;10583;14324;138118
".. Espírito Santo";766;4172;65;1392;229;1074;-;5;6942;2798;1142;106;120;714;45;351;230;179;3782;24112
".. Rio de Janeiro";7466;21942;830;7985;953;3509;3;21;38127;16387;5708;907;585;5759;198;1554;821;9320;14634;136709
".. São Paulo";10701;55256;1217;13647;2284;9946;5;37;87725;40676;16859;1461;1393;11106;360;3923;2130;13833;22194;294753
"Região Sul";7188;41983;804;11662;1833;7936;-;20;53773;23814;9518;500;761;5118;172;2408;1485;6951;21867;197793
".. Paraná";2208;14060;294;4298;752;2825;-;7;20271;8893;3785;156;283;1883;57;982;584;1692;8603;71633
".. Santa Catarina";1413;8692;188;2300;387;1395;-;8;10930;4590;1900;118;155;1084;39;575;347;1177;4621;39919
".. Rio Grande do Sul";3567;19231;322;5064;694;3716;-;5;22572;10331;3833;226;323;2151;76;851;554;4082;8643;86241
"Região Centro-Oeste";3671;14465;356;5317;1022;2559;-;11;22702;10006;4752;236;357;2373;144;1595;985;2515;13084;86150
".. Mato Grosso do Sul";594;2817;52;1052;123;477;-;-;4564;2017;892;80;57;441;27;266;179;254;2062;15954
".. Mato Grosso";741;2667;99;1356;206;434;-;-;4307;1681;875;40;63;516;40;400;227;1036;3021;17709
".. Goiás";1778;6401;165;2326;395;1072;-;7;10484;5123;2283;97;165;1178;54;658;374;961;6452;39973
".. Distrito Federal";558;2580;40;583;298;576;-;4;3347;1185;702;19;72;238;23;271;205;264;1549;12514
"Total";54874;221821;6622;79662;12858;38786;19;179;358882;155620;66052;6100;5912;40470;1874;21458;10995;71822;158657;1312663
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
