 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2026
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Cap XXII";"Total"
"Região Norte";1870;5432;212;2328;277;1087;1;13;8170;4218;1812;225;251;1208;82;773;354;2199;4324;1;34837
".. Rondônia";142;602;17;217;29;127;-;3;908;433;205;18;14;155;6;50;25;220;462;-;3633
".. Acre";66;258;10;72;3;38;-;1;306;197;68;5;5;57;2;40;19;193;170;-;1510
".. Amazonas";478;1116;54;526;47;229;1;5;1436;735;351;24;50;249;23;191;71;526;805;1;6918
".. Roraima";53;182;4;59;6;43;-;1;225;100;49;8;10;38;3;38;14;32;169;-;1034
".. Pará";927;2513;100;1193;146;519;-;3;4087;2161;894;139;143;563;40;364;164;996;2006;-;16958
".. Amapá";80;232;8;61;4;37;-;-;313;188;61;3;6;47;4;30;22;75;219;-;1390
".. Tocantins";124;529;19;200;42;94;-;-;895;404;184;28;23;99;4;60;39;157;493;-;3394
"Região Nordeste";6154;21681;722;8785;1782;4816;3;20;34040;16984;8057;1399;814;4742;129;1982;1067;7719;16025;1;136922
".. Maranhão";647;1932;96;1247;189;415;-;2;4171;1913;951;149;53;515;17;283;130;694;1927;-;15331
".. Piauí";352;1172;54;526;120;261;-;2;2273;1090;450;102;35;204;13;100;56;352;950;-;8112
".. Ceará";1114;4036;88;1042;387;1033;-;3;5475;3383;1361;243;155;726;19;235;156;923;2708;-;23087
".. Rio Grande do Norte";325;1502;32;495;103;336;-;2;2133;997;444;80;81;298;7;103;61;266;789;-;8054
".. Paraíba";499;1853;56;797;127;383;-;1;2701;1544;625;102;70;473;12;171;71;520;1087;-;11092
".. Pernambuco";1169;3636;100;1498;235;814;1;5;5795;3088;1502;262;155;947;21;261;196;1005;2727;-;23417
".. Alagoas";411;1064;35;502;89;202;2;-;2167;854;499;70;38;276;8;159;82;410;871;-;7739
".. Sergipe";226;775;39;397;99;181;-;1;1234;616;289;56;32;185;2;117;36;373;679;1;5338
".. Bahia";1411;5711;222;2281;433;1191;-;4;8091;3499;1936;335;195;1118;30;553;279;3176;4287;-;34752
"Região Sudeste";8854;42494;1136;10855;2872;8920;3;53;56274;28001;12412;2043;1438;11762;167;2031;1218;12195;18667;1;221396
".. Minas Gerais";2154;9427;303;2548;859;2042;1;10;11031;6739;2872;416;374;2482;28;471;284;3206;4505;1;49753
".. Espírito Santo";280;1775;42;616;98;552;-;1;2329;845;465;72;57;367;7;92;88;62;1338;-;9086
".. Rio de Janeiro";2135;8428;310;2660;521;1605;-;12;12231;5843;2081;548;271;2821;62;389;226;3868;4275;-;48286
".. São Paulo";4285;22864;481;5031;1394;4721;2;30;30683;14574;6994;1007;736;6092;70;1079;620;5059;8549;-;114271
"Região Sul";2884;17712;327;4309;1010;4293;2;16;17990;8216;4260;467;397;3006;59;767;492;4004;7516;-;77727
".. Paraná";973;6404;137;1546;381;1701;1;8;6997;3388;1923;214;155;1160;32;317;184;1314;3289;-;30124
".. Santa Catarina";569;4299;67;1022;167;895;-;4;4227;1697;913;97;95;628;14;202;141;517;1838;-;17392
".. Rio Grande do Sul";1342;7009;123;1741;462;1697;1;4;6766;3131;1424;156;147;1218;13;248;167;2173;2389;-;30211
"Região Centro-Oeste";1580;6570;182;1925;400;1323;1;6;8468;4207;2115;265;250;1562;40;471;289;2030;3965;-;35649
".. Mato Grosso do Sul";290;1261;42;443;28;255;-;1;1723;758;491;65;58;364;10;77;54;329;729;-;6978
".. Mato Grosso";351;1404;49;445;84;202;-;3;1799;1015;461;42;55;338;13;150;78;746;893;-;8128
".. Goiás";730;2773;61;778;139;623;1;2;3763;1908;887;118;86;685;12;179;112;683;1835;-;15375
".. Distrito Federal";209;1132;30;259;149;243;-;-;1183;526;276;40;51;175;5;65;45;272;508;-;5168
"Total";21342;93889;2579;28202;6341;20439;10;108;124942;61626;28656;4399;3150;22280;477;6024;3420;28147;50497;3;506531
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
