 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2020
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4386;799;430;602;2031;5868;6668;8759;12778;19016;21715;25673;289;109014
".. Rondônia";336;46;31;50;134;437;647;915;1396;1913;2080;2275;18;10278
".. Acre";243;41;30;33;125;258;334;399;539;848;895;1089;26;4860
".. Amazonas";1051;207;108;142;471;1368;1455;2028;2962;4437;4832;5668;36;24765
".. Roraima";264;45;29;38;92;220;252;358;443;602;610;625;2;3580
".. Pará";1976;360;185;267;944;2730;3106;3872;5821;8953;10681;12556;192;51643
".. Amapá";264;40;16;26;112;382;318;446;582;753;787;891;-;4617
".. Tocantins";252;60;31;46;153;473;556;741;1035;1510;1830;2569;15;9271
"Região Nordeste";9997;1407;863;1338;6311;18870;21720;30334;47240;66999;84751;125499;590;415919
".. Maranhão";1458;259;135;210;763;2098;2669;3240;4679;7055;8951;11706;48;43271
".. Piauí";628;97;67;93;264;941;1207;1667;2418;3694;4788;7735;47;23646
".. Ceará";1417;208;122;240;1115;3405;3564;4721;7366;10276;13944;23117;17;69512
".. Rio Grande do Norte";492;63;48;62;307;1105;1217;1677;2947;3724;5011;8018;3;24674
".. Paraíba";715;80;44;87;326;1000;1448;2204;3486;4742;6489;10478;8;31107
".. Pernambuco";1493;233;141;204;993;3061;3606;5525;9057;13151;16604;22228;278;76574
".. Alagoas";579;81;60;77;408;1088;1247;1934;3043;4401;5242;5984;4;24148
".. Sergipe";505;63;29;48;246;743;872;1187;1984;2707;3031;4375;3;15793
".. Bahia";2710;323;217;317;1889;5429;5890;8179;12260;17249;20691;31858;182;107194
"Região Sudeste";11074;1500;774;1200;5389;17831;26253;45483;84262;137199;154575;216273;1246;703059
".. Minas Gerais";2582;383;203;316;1251;3832;5976;10080;18145;27653;32463;49186;58;152128
".. Espírito Santo";525;88;51;80;384;1039;1283;2088;3552;5610;5901;8420;90;29111
".. Rio de Janeiro";2508;347;156;260;1569;5042;6234;10682;20582;35208;38660;50300;637;172185
".. São Paulo";5459;682;364;544;2185;7918;12760;22633;41983;68728;77551;108367;461;349635
"Região Sul";3404;483;269;412;1605;6175;8040;13286;26157;43091;51165;67582;139;221808
".. Paraná";1361;210;129;189;698;2708;3400;5409;10045;15820;18611;23916;77;82573
".. Santa Catarina";913;116;54;100;334;1270;1726;2881;5960;9112;10496;13469;13;46444
".. Rio Grande do Sul";1130;157;86;123;573;2197;2914;4996;10152;18159;22058;30197;49;92791
"Região Centro-Oeste";2578;397;246;328;1306;4209;5483;8626;13665;19885;22527;27651;123;107024
".. Mato Grosso do Sul";451;79;49;69;168;633;922;1435;2364;3541;4100;5223;17;19051
".. Mato Grosso";689;132;70;102;335;1083;1356;2028;3230;4377;4721;5250;24;23397
".. Goiás";1054;148;91;125;670;1984;2445;3841;5987;8990;10338;12608;77;48358
".. Distrito Federal";384;38;36;32;133;509;760;1322;2084;2977;3368;4570;5;16218
"Total";31439;4586;2582;3880;16642;52953;68164;106488;184102;286190;334733;462678;2387;1556824
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
