 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2022
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";141;189;96;208;1266;4175;3049;2115;1263;876;545;507;165;14595
".. Rondônia";12;15;5;19;102;341;319;302;196;127;80;77;4;1599
".. Acre";6;6;4;8;60;121;124;103;34;27;12;11;6;522
".. Amazonas";37;55;25;39;314;1075;694;421;219;153;86;67;37;3222
".. Roraima";18;9;4;19;56;143;130;100;57;37;21;17;-;611
".. Pará";48;71;51;97;556;1897;1334;877;541;396;241;213;112;6434
".. Amapá";3;18;1;10;76;238;133;70;58;37;24;23;-;691
".. Tocantins";17;15;6;16;102;360;315;242;158;99;81;99;6;1516
"Região Nordeste";288;338;236;441;3945;12506;8923;6690;4674;3235;2658;3513;366;47813
".. Maranhão";44;62;36;73;397;1175;1079;697;458;313;236;255;29;4854
".. Piauí";14;21;15;27;166;624;530;416;274;175;164;191;26;2643
".. Ceará";48;38;38;79;669;2067;1560;1175;913;598;454;538;4;8181
".. Rio Grande do Norte";8;19;8;14;184;669;476;373;245;182;127;192;12;2509
".. Paraíba";29;25;17;29;236;698;580;471;335;235;185;223;7;3070
".. Pernambuco";71;60;47;70;620;1991;1443;1187;874;639;550;757;193;8502
".. Alagoas";13;23;9;19;232;764;446;327;229;151;144;127;-;2484
".. Sergipe";14;10;7;9;130;532;348;235;181;136;124;196;-;1922
".. Bahia";47;80;59;121;1311;3986;2461;1809;1165;806;674;1034;95;13648
"Região Sudeste";478;386;216;383;2599;9906;8321;7483;6053;5355;5081;8040;547;54848
".. Minas Gerais";58;94;56;102;661;2509;2253;1991;1685;1427;1236;1906;43;14021
".. Espírito Santo";31;27;21;30;249;742;593;513;406;354;323;475;52;3816
".. Rio de Janeiro";156;93;48;92;760;2885;1780;1410;1175;1151;1098;1800;231;12679
".. São Paulo";233;172;91;159;929;3770;3695;3569;2787;2423;2424;3859;221;24332
"Região Sul";179;146;89;151;1122;4052;3737;3111;2812;2242;1920;2900;112;22573
".. Paraná";88;66;30;67;530;1933;1681;1370;1174;847;768;1291;56;9901
".. Santa Catarina";41;31;33;34;204;769;804;702;669;529;393;538;15;4762
".. Rio Grande do Sul";50;49;26;50;388;1350;1252;1039;969;866;759;1071;41;7910
"Região Centro-Oeste";97;149;74;130;760;2738;2389;2015;1518;1102;884;1189;71;13116
".. Mato Grosso do Sul";25;22;15;27;112;463;430;354;265;215;156;169;8;2261
".. Mato Grosso";27;49;19;49;251;778;615;567;411;247;183;216;9;3421
".. Goiás";41;60;34;40;317;1224;1066;856;657;506;463;614;48;5926
".. Distrito Federal";4;18;6;14;80;273;278;238;185;134;82;190;6;1508
"Total";1183;1208;711;1313;9692;33377;26419;21414;16320;12810;11088;16149;1261;152945
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
