 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2024
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4380;245;2393;4278;2958;33;14287
".. Rondônia";521;13;247;503;300;8;1592
".. Acre";136;1;153;147;130;2;569
".. Amazonas";954;34;529;870;629;3;3019
".. Roraima";169;5;130;89;162;1;556
".. Pará";1882;153;943;2079;1270;16;6343
".. Amapá";236;11;122;119;213;-;701
".. Tocantins";482;28;269;471;254;3;1507
"Região Nordeste";16500;1220;7775;16283;8611;99;50488
".. Maranhão";1677;49;911;1883;1030;23;5573
".. Piauí";995;12;596;967;354;8;2932
".. Ceará";2530;164;1750;2817;1772;8;9041
".. Rio Grande do Norte";873;64;411;723;269;14;2354
".. Paraíba";1101;26;527;1060;472;5;3191
".. Pernambuco";2991;471;1204;2964;1230;6;8866
".. Alagoas";911;37;359;843;726;3;2879
".. Sergipe";836;14;271;610;91;1;1823
".. Bahia";4586;383;1746;4416;2667;31;13829
"Região Sudeste";28360;3033;8540;12232;5790;87;58042
".. Minas Gerais";6700;601;2716;3709;1678;48;15452
".. Espírito Santo";1730;151;546;1049;533;15;4024
".. Rio de Janeiro";6915;1043;1084;2253;1531;13;12839
".. São Paulo";13015;1238;4194;5221;2048;11;25727
"Região Sul";8919;439;4674;5853;3230;24;23139
".. Paraná";3969;266;1735;2540;1371;-;9881
".. Santa Catarina";1835;67;1103;1318;752;3;5078
".. Rio Grande do Sul";3115;106;1836;1995;1107;21;8180
"Região Centro-Oeste";5566;393;2265;3494;1838;22;13578
".. Mato Grosso do Sul";817;50;441;617;372;3;2300
".. Mato Grosso";1298;119;559;1045;573;4;3598
".. Goiás";2658;181;937;1503;729;15;6023
".. Distrito Federal";793;43;328;329;164;-;1657
"Total";63725;5330;25647;42140;22427;265;159534
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
