 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2019
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";1896;1569;73;3538
".. Rondônia";114;130;7;251
".. Acre";94;84;9;187
".. Amazonas";491;402;13;906
".. Roraima";83;60;3;146
".. Pará";846;704;28;1578
".. Amapá";118;79;2;199
".. Tocantins";150;110;11;271
"Região Nordeste";4967;4294;259;9520
".. Maranhão";739;684;26;1449
".. Piauí";287;265;10;562
".. Ceará";720;637;34;1391
".. Rio Grande do Norte";229;199;29;457
".. Paraíba";305;270;11;586
".. Pernambuco";803;672;53;1528
".. Alagoas";278;261;13;552
".. Sergipe";183;156;12;351
".. Bahia";1423;1150;71;2644
"Região Sudeste";5573;4930;317;10820
".. Minas Gerais";1330;1199;84;2613
".. Espírito Santo";249;228;12;489
".. Rio de Janeiro";1317;1234;96;2647
".. São Paulo";2677;2269;125;5071
"Região Sul";1607;1330;80;3017
".. Paraná";591;496;38;1125
".. Santa Catarina";436;366;8;810
".. Rio Grande do Sul";580;468;34;1082
"Região Centro-Oeste";1217;954;39;2210
".. Mato Grosso do Sul";256;200;2;458
".. Mato Grosso";289;235;10;534
".. Goiás";479;361;16;856
".. Distrito Federal";193;158;11;362
"Total";15260;13077;768;29105
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
