 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2022
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";2899;32;271;25;74;38;3339
".. Rondônia";206;-;12;-;2;2;222
".. Acre";136;-;12;2;2;-;152
".. Amazonas";688;1;123;4;28;8;852
".. Roraima";113;-;3;1;2;3;122
".. Pará";1393;28;111;16;28;20;1596
".. Amapá";149;1;3;-;8;3;164
".. Tocantins";214;2;7;2;4;2;231
"Região Nordeste";7992;117;307;57;102;79;8654
".. Maranhão";1158;15;77;8;36;21;1315
".. Piauí";426;-;22;5;5;6;464
".. Ceará";1117;3;47;9;19;9;1204
".. Rio Grande do Norte";422;2;10;1;2;4;441
".. Paraíba";509;1;20;5;7;3;545
".. Pernambuco";1163;30;34;4;9;7;1247
".. Alagoas";493;2;18;1;3;5;522
".. Sergipe";346;3;12;2;-;1;364
".. Bahia";2358;61;67;22;21;23;2552
"Região Sudeste";9475;135;209;36;66;24;9945
".. Minas Gerais";2304;18;74;6;13;13;2428
".. Espírito Santo";453;35;1;2;3;1;495
".. Rio de Janeiro";2126;18;33;7;12;6;2202
".. São Paulo";4592;64;101;21;38;4;4820
"Região Sul";2860;33;69;12;18;7;2999
".. Paraná";1102;18;22;4;9;2;1157
".. Santa Catarina";828;4;14;3;5;-;854
".. Rio Grande do Sul";930;11;33;5;4;5;988
"Região Centro-Oeste";2302;23;78;8;28;18;2457
".. Mato Grosso do Sul";431;3;25;4;10;3;476
".. Mato Grosso";550;2;17;2;4;1;576
".. Goiás";954;17;30;1;12;9;1023
".. Distrito Federal";367;1;6;1;2;5;382
"Total";25528;340;934;138;288;166;27394
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
