 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2017
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";297;23;35;89;-;38;2;1;43;301;42;8;3;11;2704;961;137;130;4825
".. Rondônia";23;-;5;4;-;3;2;-;2;26;5;-;-;1;161;93;18;10;353
".. Acre";18;5;1;14;-;3;-;-;-;17;3;1;-;-;121;35;-;5;223
".. Amazonas";102;7;10;34;-;8;-;-;3;99;10;2;1;6;659;246;59;46;1292
".. Roraima";15;-;2;5;-;3;-;-;4;18;2;1;-;-;83;48;6;23;210
".. Pará";107;8;16;21;-;18;-;-;28;104;20;4;2;3;1334;402;42;27;2136
".. Amapá";12;1;-;4;-;1;-;1;4;24;1;-;-;1;180;54;7;12;302
".. Tocantins";20;2;1;7;-;2;-;-;2;13;1;-;-;-;166;83;5;7;309
"Região Nordeste";461;30;75;145;2;141;-;5;96;427;101;6;3;41;7123;2361;261;212;11490
".. Maranhão";95;3;19;29;1;25;-;1;18;78;9;2;-;2;1133;300;49;23;1787
".. Piauí";32;-;8;9;-;10;-;-;9;52;11;2;-;6;427;161;21;9;757
".. Ceará";71;4;10;24;1;37;-;1;20;65;12;-;-;3;1002;385;29;24;1688
".. Rio Grande do Norte";21;1;3;6;-;3;-;-;4;9;5;-;-;5;347;149;5;11;569
".. Paraíba";20;3;3;14;-;7;-;-;9;30;13;-;1;3;468;164;15;14;764
".. Pernambuco";81;5;4;16;-;15;-;-;3;54;12;1;1;4;945;439;14;54;1648
".. Alagoas";35;3;7;9;-;8;-;1;9;29;6;-;1;4;397;138;11;17;675
".. Sergipe";19;4;6;2;-;5;-;-;5;10;8;-;-;3;357;88;9;5;521
".. Bahia";87;7;15;36;-;31;-;2;19;100;25;1;-;11;2047;537;108;55;3081
"Região Sudeste";447;34;63;100;-;149;2;3;143;530;93;10;3;47;7564;3074;341;425;13028
".. Minas Gerais";86;8;10;21;-;29;1;1;32;69;21;-;1;4;1767;740;127;65;2982
".. Espírito Santo";19;3;1;4;-;4;-;1;2;24;4;-;-;2;344;160;7;21;596
".. Rio de Janeiro";145;8;9;25;-;32;1;1;35;132;21;5;-;9;1552;607;57;131;2770
".. São Paulo";197;15;43;50;-;84;-;-;74;305;47;5;2;32;3901;1567;150;208;6680
"Região Sul";86;19;10;21;-;36;-;-;32;110;22;-;3;7;2362;1083;87;156;4034
".. Paraná";28;7;4;13;-;17;-;-;5;36;8;-;1;2;976;442;26;68;1633
".. Santa Catarina";18;7;3;2;-;12;-;-;13;25;4;-;2;2;575;272;23;18;976
".. Rio Grande do Sul";40;5;3;6;-;7;-;-;14;49;10;-;-;3;811;369;38;70;1425
"Região Centro-Oeste";104;11;14;29;-;33;-;-;28;109;22;1;-;12;1588;737;65;93;2846
".. Mato Grosso do Sul";15;1;-;6;-;6;-;-;6;15;2;1;-;-;261;123;10;27;473
".. Mato Grosso";38;1;3;7;-;8;-;-;6;28;5;-;-;4;400;184;17;19;720
".. Goiás";36;8;10;11;-;13;-;-;13;54;12;-;-;7;657;274;30;34;1159
".. Distrito Federal";15;1;1;5;-;6;-;-;3;12;3;-;-;1;270;156;8;13;494
"Total";1395;117;197;384;2;397;4;9;342;1477;280;25;12;118;21341;8216;891;1016;36223
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
