 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2022
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";274;15;25;69;54;-;-;33;348;43;12;1;27;2253;904;169;141;4368
".. Rondônia";14;3;3;5;2;-;-;1;20;3;-;-;3;194;69;5;12;334
".. Acre";12;2;2;8;5;-;-;-;27;3;1;-;2;113;48;20;6;249
".. Amazonas";79;5;6;26;17;-;-;5;91;13;1;-;-;540;270;48;37;1138
".. Roraima";22;-;-;6;4;-;-;4;38;2;1;-;1;87;48;15;18;246
".. Pará";113;4;11;20;20;-;-;20;133;17;9;1;14;1046;347;74;48;1877
".. Amapá";21;1;2;2;4;-;-;3;22;3;-;-;4;131;47;3;3;246
".. Tocantins";13;-;1;2;2;-;-;-;17;2;-;-;3;142;75;4;17;278
"Região Nordeste";586;44;50;113;102;-;2;104;481;107;11;4;33;5720;2134;213;288;9992
".. Maranhão";107;7;14;24;26;-;-;12;80;19;3;-;7;788;333;37;44;1501
".. Piauí";36;3;1;10;9;-;-;7;31;16;-;-;-;369;150;20;14;666
".. Ceará";76;7;4;10;11;-;-;15;59;13;2;1;9;774;274;14;48;1317
".. Rio Grande do Norte";21;7;1;3;2;-;1;1;16;4;1;-;1;282;92;3;8;443
".. Paraíba";26;1;5;8;7;-;-;10;44;5;1;-;4;436;160;13;29;749
".. Pernambuco";85;4;6;19;9;-;-;14;92;10;2;-;6;858;354;28;71;1558
".. Alagoas";39;1;7;6;3;-;-;9;34;11;-;-;1;351;98;14;13;587
".. Sergipe";40;3;1;4;5;-;1;5;27;3;1;-;1;287;106;5;14;503
".. Bahia";156;11;11;29;30;-;-;31;98;26;1;3;4;1575;567;79;47;2668
"Região Sudeste";483;36;55;83;141;-;3;92;495;107;4;6;48;6442;2655;271;478;11399
".. Minas Gerais";115;6;9;18;27;-;1;13;84;26;1;1;7;1578;641;87;58;2672
".. Espírito Santo";12;1;3;7;11;-;-;4;33;1;-;-;-;300;153;2;31;558
".. Rio de Janeiro";140;8;10;22;32;-;-;22;134;17;1;3;12;1275;497;45;156;2374
".. São Paulo";216;21;33;36;71;-;2;53;244;63;2;2;29;3289;1364;137;233;5795
"Região Sul";123;19;13;23;32;1;1;30;125;16;-;1;10;2008;997;103;179;3681
".. Paraná";53;8;5;8;11;1;1;10;50;7;-;1;5;800;370;33;88;1451
".. Santa Catarina";32;5;4;10;11;-;-;7;39;5;-;-;4;530;238;35;41;961
".. Rio Grande do Sul";38;6;4;5;10;-;-;13;36;4;-;-;1;678;389;35;50;1269
"Região Centro-Oeste";142;9;25;30;38;-;1;30;151;33;3;1;19;1446;709;83;97;2817
".. Mato Grosso do Sul";22;3;4;9;12;-;-;7;34;10;1;-;6;232;115;20;25;500
".. Mato Grosso";50;3;12;10;13;-;-;9;47;7;1;-;7;404;203;26;27;819
".. Goiás";61;2;7;7;9;-;1;13;62;15;1;1;5;618;262;31;41;1136
".. Distrito Federal";9;1;2;4;4;-;-;1;8;1;-;-;1;192;129;6;4;362
"Total";1608;123;168;318;367;1;7;289;1600;306;30;13;137;17869;7399;839;1183;32257
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
