 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2024
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";234;16;27;62;-;47;1;48;335;54;5;4;20;2099;934;134;148;4168
".. Rondônia";11;-;2;3;-;7;-;1;19;5;1;1;1;160;70;3;11;295
".. Acre";14;2;-;6;-;9;-;1;27;1;-;-;-;104;51;16;5;236
".. Amazonas";58;1;4;21;-;13;-;5;97;17;1;-;4;505;264;34;41;1065
".. Roraima";25;1;1;6;-;1;-;-;26;1;-;-;1;90;44;7;28;231
".. Pará";100;11;13;20;-;14;1;33;131;25;3;2;11;957;377;68;44;1810
".. Amapá";15;-;4;3;-;3;-;4;15;2;-;1;2;108;50;4;9;220
".. Tocantins";11;1;3;3;-;-;-;4;20;3;-;-;1;175;78;2;10;311
"Região Nordeste";472;41;47;95;-;108;5;85;511;102;11;5;44;5021;2074;167;245;9033
".. Maranhão";106;7;9;14;-;22;1;15;64;13;1;-;8;686;265;34;46;1291
".. Piauí";25;1;5;9;-;6;1;4;32;7;2;1;4;303;142;12;12;566
".. Ceará";50;8;9;7;-;19;-;9;50;11;3;-;3;652;320;11;28;1180
".. Rio Grande do Norte";9;3;3;1;-;-;-;2;17;7;-;-;4;296;111;5;11;469
".. Paraíba";27;2;2;8;-;7;2;6;49;2;-;-;2;351;124;12;14;608
".. Pernambuco";77;6;8;16;-;18;1;16;138;14;-;-;5;764;358;9;63;1493
".. Alagoas";37;2;3;8;-;13;-;7;32;7;1;-;3;369;121;7;23;633
".. Sergipe";15;1;1;2;-;4;-;3;28;5;1;1;1;214;96;7;6;385
".. Bahia";126;11;7;30;-;19;-;23;101;36;3;3;14;1386;537;70;42;2408
"Região Sudeste";407;33;52;60;-;143;4;130;572;103;7;5;56;5754;2564;230;474;10594
".. Minas Gerais";87;5;15;15;-;31;1;28;125;20;2;1;11;1380;628;71;66;2486
".. Espírito Santo";17;2;2;4;-;7;1;4;28;2;3;-;5;310;171;2;52;610
".. Rio de Janeiro";124;7;13;11;-;21;1;27;142;18;-;2;11;1145;478;42;145;2187
".. São Paulo";179;19;22;30;-;84;1;71;277;63;2;2;29;2919;1287;115;211;5311
"Região Sul";101;10;7;19;1;51;-;21;119;28;-;-;7;1897;991;87;168;3507
".. Paraná";40;5;2;9;-;21;-;11;40;7;-;-;5;747;406;29;76;1398
".. Santa Catarina";36;1;2;5;1;15;-;3;39;18;-;-;2;535;260;23;32;972
".. Rio Grande do Sul";25;4;3;5;-;15;-;7;40;3;-;-;-;615;325;35;60;1137
"Região Centro-Oeste";124;8;24;24;-;34;2;26;157;24;1;1;11;1359;739;52;132;2718
".. Mato Grosso do Sul";23;1;3;6;-;5;-;2;21;2;1;-;-;222;154;12;36;488
".. Mato Grosso";44;2;13;8;-;10;2;11;43;10;-;-;9;383;196;19;35;785
".. Goiás";46;5;7;9;-;14;-;13;67;12;-;1;2;571;282;19;48;1096
".. Distrito Federal";11;-;1;1;-;5;-;-;26;-;-;-;-;183;107;2;13;349
"Total";1338;108;157;260;1;383;12;310;1694;311;24;15;138;16130;7302;670;1167;30020
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
