 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2026
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";71;4;11;25;29;1;14;121;13;3;-;8;772;286;50;48;1456
".. Rondônia";6;-;-;2;1;-;2;4;-;-;-;1;50;21;1;4;92
".. Acre";8;1;-;3;3;-;1;13;-;-;-;1;39;18;6;5;98
".. Amazonas";19;1;4;8;8;1;2;31;4;-;-;-;191;59;13;20;361
".. Roraima";8;-;-;3;2;-;-;7;1;-;-;-;38;12;2;2;75
".. Pará";27;1;4;9;12;-;6;51;6;3;-;5;364;132;23;12;655
".. Amapá";3;-;2;-;1;-;2;11;1;-;-;-;30;14;2;1;67
".. Tocantins";-;1;1;-;2;-;1;4;1;-;-;1;60;30;3;4;108
"Região Nordeste";117;9;22;25;28;1;37;179;38;3;1;18;1964;738;60;98;3338
".. Maranhão";27;1;5;8;6;-;2;37;8;-;-;5;282;93;9;11;494
".. Piauí";6;-;1;1;-;-;7;9;6;1;-;2;98;43;4;6;184
".. Ceará";17;1;5;1;1;-;2;15;4;-;-;2;230;93;5;18;394
".. Rio Grande do Norte";4;-;1;1;2;-;1;5;1;-;-;1;103;40;3;3;165
".. Paraíba";7;2;2;-;3;-;1;15;-;-;-;1;167;58;8;8;272
".. Pernambuco";17;-;2;1;6;-;3;49;6;1;-;3;258;134;2;24;506
".. Alagoas";10;1;2;3;-;-;4;8;3;-;-;1;158;59;6;7;262
".. Sergipe";7;1;-;2;1;-;-;15;3;-;-;-;117;28;2;2;178
".. Bahia";22;3;4;8;9;1;17;26;7;1;1;3;551;190;21;19;883
"Região Sudeste";99;11;18;19;35;-;34;133;36;-;1;14;2019;881;94;134;3528
".. Minas Gerais";19;3;3;5;7;-;8;26;5;-;1;3;469;210;20;16;795
".. Espírito Santo";3;2;1;-;-;-;1;6;4;-;-;1;92;65;1;18;194
".. Rio de Janeiro";24;2;6;6;10;-;7;26;5;-;-;3;386;153;18;39;685
".. São Paulo";53;4;8;8;18;-;18;75;22;-;-;7;1072;453;55;61;1854
"Região Sul";32;5;6;7;18;-;13;27;6;1;-;9;757;362;36;38;1317
".. Paraná";13;3;3;2;6;-;5;6;3;-;-;4;313;150;17;13;538
".. Santa Catarina";8;2;3;3;6;-;5;17;2;-;-;5;202;101;9;13;376
".. Rio Grande do Sul";11;-;-;2;6;-;3;4;1;1;-;-;242;111;10;12;403
"Região Centro-Oeste";41;3;5;11;4;1;9;54;11;-;1;3;465;210;63;21;902
".. Mato Grosso do Sul";10;-;1;4;1;-;-;9;1;-;-;-;77;43;5;3;154
".. Mato Grosso";15;1;3;6;1;-;2;27;6;-;-;3;149;61;26;8;308
".. Goiás";10;2;1;-;2;1;4;15;3;-;-;-;174;78;20;9;319
".. Distrito Federal";6;-;-;1;-;-;3;3;1;-;1;-;65;28;12;1;121
"Total";360;32;62;87;114;3;107;514;104;7;3;52;5977;2477;303;339;10541
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
