 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2019
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";134;16;57;207
".. Rondônia";5;-;5;10
".. Acre";5;1;5;11
".. Amazonas";42;2;5;49
".. Roraima";9;1;2;12
".. Pará";54;11;37;102
".. Amapá";10;1;1;12
".. Tocantins";9;-;2;11
"Região Nordeste";217;18;171;406
".. Maranhão";44;7;29;80
".. Piauí";20;2;12;34
".. Ceará";16;1;16;33
".. Rio Grande do Norte";6;-;1;7
".. Paraíba";16;1;5;22
".. Pernambuco";13;-;5;18
".. Alagoas";7;-;4;11
".. Sergipe";6;2;3;11
".. Bahia";89;5;96;190
"Região Sudeste";265;12;78;355
".. Minas Gerais";80;3;41;124
".. Espírito Santo";2;-;3;5
".. Rio de Janeiro";62;3;7;72
".. São Paulo";121;6;27;154
"Região Sul";94;4;13;111
".. Paraná";40;2;5;47
".. Santa Catarina";19;1;5;25
".. Rio Grande do Sul";35;1;3;39
"Região Centro-Oeste";40;5;23;68
".. Mato Grosso do Sul";14;1;3;18
".. Mato Grosso";13;3;7;23
".. Goiás";11;1;12;24
".. Distrito Federal";2;-;1;3
"Total";750;55;342;1147
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
