 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2022
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";140;1;8;58;207
".. Rondônia";4;-;-;2;6
".. Acre";17;-;1;2;20
".. Amazonas";41;-;1;23;65
".. Roraima";6;-;-;-;6
".. Pará";67;-;4;26;97
".. Amapá";3;1;1;2;7
".. Tocantins";2;-;1;3;6
"Região Nordeste";169;3;18;95;285
".. Maranhão";27;-;5;4;36
".. Piauí";12;-;-;5;17
".. Ceará";6;1;3;5;15
".. Rio Grande do Norte";2;-;-;-;2
".. Paraíba";11;1;1;-;13
".. Pernambuco";24;1;2;3;30
".. Alagoas";13;-;2;5;20
".. Sergipe";4;-;-;-;4
".. Bahia";70;-;5;73;148
"Região Sudeste";227;1;6;44;278
".. Minas Gerais";71;-;2;28;101
".. Espírito Santo";1;-;-;-;1
".. Rio de Janeiro";40;-;-;5;45
".. São Paulo";115;1;4;11;131
"Região Sul";78;-;4;9;91
".. Paraná";22;-;1;2;25
".. Santa Catarina";26;-;2;4;32
".. Rio Grande do Sul";30;-;1;3;34
"Região Centro-Oeste";60;1;-;21;82
".. Mato Grosso do Sul";14;-;-;4;18
".. Mato Grosso";22;-;-;8;30
".. Goiás";20;1;-;9;30
".. Distrito Federal";4;-;-;-;4
"Total";674;6;36;227;943
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
