 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2018
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";7;1136;494;898;406;326;129;1504;4900
".. Rondônia";-;59;27;74;30;20;4;143;357
".. Acre";-;46;30;56;20;27;4;90;273
".. Amazonas";3;299;126;180;126;98;58;363;1253
".. Roraima";1;50;17;28;13;60;3;94;266
".. Pará";2;491;245;467;177;92;55;605;2134
".. Amapá";1;90;19;51;26;11;3;93;294
".. Tocantins";-;101;30;42;14;18;2;116;323
"Região Nordeste";8;3054;1269;2235;680;536;207;3325;11314
".. Maranhão";1;409;218;310;119;98;43;451;1649
".. Piauí";-;217;105;116;47;28;12;210;735
".. Ceará";-;369;185;372;85;62;30;491;1594
".. Rio Grande do Norte";-;208;44;96;32;18;9;157;564
".. Paraíba";1;169;79;155;46;36;14;203;703
".. Pernambuco";5;519;163;275;99;132;15;506;1714
".. Alagoas";-;162;56;167;49;31;2;191;658
".. Sergipe";-;195;90;89;25;19;7;151;576
".. Bahia";1;806;329;655;178;112;75;965;3121
"Região Sudeste";6;3652;1199;2209;808;566;191;4182;12813
".. Minas Gerais";1;848;257;521;120;114;71;957;2889
".. Espírito Santo";-;173;67;87;33;22;3;215;600
".. Rio de Janeiro";1;826;268;413;276;180;29;801;2794
".. São Paulo";4;1805;607;1188;379;250;88;2209;6530
"Região Sul";3;1347;338;494;187;182;29;1355;3935
".. Paraná";3;597;139;170;73;76;13;542;1613
".. Santa Catarina";-;272;84;148;46;45;8;347;950
".. Rio Grande do Sul";-;478;115;176;68;61;8;466;1372
"Região Centro-Oeste";4;803;247;466;189;153;50;990;2902
".. Mato Grosso do Sul";1;98;38;79;35;40;12;199;502
".. Mato Grosso";-;168;66;121;56;45;21;236;713
".. Goiás";2;367;117;217;77;56;15;383;1234
".. Distrito Federal";1;170;26;49;21;12;2;172;453
"Total";28;9992;3547;6302;2270;1763;606;11356;35864
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
