 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2026
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";8;338;135;268;134;93;24;456;1456
".. Rondônia";-;24;6;19;9;5;-;29;92
".. Acre";-;19;5;16;14;10;2;32;98
".. Amazonas";-;75;44;59;35;37;11;100;361
".. Roraima";4;15;9;12;9;5;1;20;75
".. Pará";4;168;51;132;53;31;10;206;655
".. Amapá";-;17;3;9;10;1;-;27;67
".. Tocantins";-;20;17;21;4;4;-;42;108
"Região Nordeste";-;909;301;644;232;144;58;1050;3338
".. Maranhão";-;136;50;80;54;23;9;142;494
".. Piauí";-;53;15;26;8;8;3;71;184
".. Ceará";-;115;28;75;16;23;6;131;394
".. Rio Grande do Norte";-;52;13;35;8;4;-;53;165
".. Paraíba";-;72;21;61;18;9;9;82;272
".. Pernambuco";-;137;41;70;56;31;7;164;506
".. Alagoas";-;64;20;67;14;13;4;80;262
".. Sergipe";-;61;16;36;19;3;2;41;178
".. Bahia";-;219;97;194;39;30;18;286;883
"Região Sudeste";3;1019;300;621;181;167;39;1198;3528
".. Minas Gerais";-;219;71;154;31;24;12;284;795
".. Espírito Santo";-;51;7;33;5;21;-;77;194
".. Rio de Janeiro";1;191;62;126;38;47;2;218;685
".. São Paulo";2;558;160;308;107;75;25;619;1854
"Região Sul";1;390;121;214;55;53;18;465;1317
".. Paraná";-;169;47;82;19;22;9;190;538
".. Santa Catarina";-;99;33;59;23;17;7;138;376
".. Rio Grande do Sul";1;122;41;73;13;14;2;137;403
"Região Centro-Oeste";-;197;72;169;75;49;27;313;902
".. Mato Grosso do Sul";-;33;9;31;15;9;1;56;154
".. Mato Grosso";-;61;19;64;32;25;6;101;308
".. Goiás";-;70;32;55;22;13;18;109;319
".. Distrito Federal";-;33;12;19;6;2;2;47;121
"Total";12;2853;929;1916;677;506;166;3482;10541
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
