 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2019
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";2638;2075;31;4744
".. Rondônia";158;151;2;311
".. Acre";157;101;1;259
".. Amazonas";719;519;3;1241
".. Roraima";130;132;2;264
".. Pará";1169;903;22;2094
".. Amapá";158;131;-;289
".. Tocantins";147;138;1;286
"Região Nordeste";6072;4854;109;11035
".. Maranhão";931;686;10;1627
".. Piauí";376;320;6;702
".. Ceará";852;719;9;1580
".. Rio Grande do Norte";286;251;10;547
".. Paraíba";395;350;7;752
".. Pernambuco";889;722;22;1633
".. Alagoas";368;287;4;659
".. Sergipe";307;248;10;565
".. Bahia";1668;1271;31;2970
"Região Sudeste";6976;5695;36;12707
".. Minas Gerais";1628;1305;9;2942
".. Espírito Santo";321;259;5;585
".. Rio de Janeiro";1488;1242;7;2737
".. São Paulo";3539;2889;15;6443
"Região Sul";2168;1773;12;3953
".. Paraná";866;710;6;1582
".. Santa Catarina";512;427;3;942
".. Rio Grande do Sul";790;636;3;1429
"Região Centro-Oeste";1583;1261;10;2854
".. Mato Grosso do Sul";249;236;-;485
".. Mato Grosso";414;328;5;747
".. Goiás";708;548;4;1260
".. Distrito Federal";212;149;1;362
"Total";19437;15658;198;35293
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
