 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2026
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Total"
"Região Norte";1331;20;74;7;24;1456
".. Rondônia";87;2;2;-;1;92
".. Acre";80;-;12;-;6;98
".. Amazonas";323;-;25;3;10;361
".. Roraima";70;-;4;-;1;75
".. Pará";603;17;25;4;6;655
".. Amapá";64;-;3;-;-;67
".. Tocantins";104;1;3;-;-;108
"Região Nordeste";3137;49;83;18;51;3338
".. Maranhão";455;3;14;3;19;494
".. Piauí";172;1;9;1;1;184
".. Ceará";370;6;10;2;6;394
".. Rio Grande do Norte";162;2;-;1;-;165
".. Paraíba";251;3;11;2;5;272
".. Pernambuco";475;15;13;2;1;506
".. Alagoas";242;8;2;-;10;262
".. Sergipe";174;2;1;1;-;178
".. Bahia";836;9;23;6;9;883
"Região Sudeste";3320;126;58;6;18;3528
".. Minas Gerais";757;11;21;3;3;795
".. Espírito Santo";180;7;5;-;2;194
".. Rio de Janeiro";635;40;6;-;4;685
".. São Paulo";1748;68;26;3;9;1854
"Região Sul";1233;30;34;8;12;1317
".. Paraná";498;15;13;5;7;538
".. Santa Catarina";350;9;13;2;2;376
".. Rio Grande do Sul";385;6;8;1;3;403
"Região Centro-Oeste";837;19;32;6;8;902
".. Mato Grosso do Sul";138;5;8;1;2;154
".. Mato Grosso";280;6;14;3;5;308
".. Goiás";303;7;6;2;1;319
".. Distrito Federal";116;1;4;-;-;121
"Total";9858;244;281;45;113;10541
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
