 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2016
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";528;1251;85;227;24;125;-;1;771;313;231;18;90;101;235;-;29;303;1170;5502
".. Rondônia";43;121;5;15;4;13;-;-;76;38;22;3;9;9;18;-;2;31;128;537
".. Acre";17;56;10;7;-;4;-;-;44;17;10;-;5;1;9;-;2;6;55;243
".. Amazonas";139;316;21;49;4;29;-;-;128;54;49;1;24;29;62;-;7;96;237;1245
".. Roraima";11;27;4;14;1;5;-;-;19;8;3;-;3;3;7;-;1;9;53;168
".. Pará";275;573;34;113;5;51;-;-;390;164;113;12;37;44;104;-;14;128;551;2608
".. Amapá";25;51;2;8;1;9;-;-;29;15;8;1;7;3;16;-;1;21;37;234
".. Tocantins";18;107;9;21;9;14;-;1;85;17;26;1;5;12;19;-;2;12;109;467
"Região Nordeste";1428;4166;256;878;174;480;2;6;3488;1057;936;85;238;444;575;1;122;1171;3410;18917
".. Maranhão";214;432;34;101;8;49;-;-;454;133;127;7;23;48;110;-;12;108;434;2294
".. Piauí";57;236;21;54;6;41;-;-;160;50;43;5;29;17;47;-;6;29;203;1004
".. Ceará";181;683;32;81;24;78;-;-;459;148;124;12;47;66;78;-;22;92;567;2694
".. Rio Grande do Norte";77;269;11;62;8;23;-;4;189;46;57;4;11;23;32;1;4;43;201;1065
".. Paraíba";84;299;12;80;15;34;-;-;267;83;69;7;11;35;55;-;9;79;223;1362
".. Pernambuco";311;773;43;174;28;84;1;1;662;224;164;17;34;83;75;-;22;116;589;3401
".. Alagoas";107;259;10;80;12;25;1;1;263;71;64;7;15;36;26;-;6;55;187;1225
".. Sergipe";41;184;8;32;5;31;-;-;159;38;25;3;14;18;18;-;3;42;132;753
".. Bahia";356;1031;85;214;68;115;-;-;875;264;263;23;54;118;134;-;38;607;874;5119
"Região Sudeste";2127;6704;306;1291;312;791;-;9;5664;1990;1334;92;350;708;649;6;219;1641;4025;28218
".. Minas Gerais";431;1457;84;360;155;192;-;4;1094;441;378;19;83;172;119;2;41;589;1115;6736
".. Espírito Santo";89;277;6;64;13;39;-;1;244;74;55;7;9;36;30;2;7;21;245;1219
".. Rio de Janeiro";704;1499;89;349;78;152;-;1;1469;404;232;23;87;169;185;-;52;342;900;6735
".. São Paulo";903;3471;127;518;66;408;-;3;2857;1071;669;43;171;331;315;2;119;689;1765;13528
"Região Sul";856;2507;61;433;100;327;-;2;1348;577;363;21;109;171;184;4;71;313;1769;9216
".. Paraná";232;946;26;193;48;139;-;2;568;226;171;9;57;74;83;-;29;94;690;3587
".. Santa Catarina";166;592;16;71;25;77;-;-;294;117;78;7;13;37;28;-;15;55;438;2029
".. Rio Grande do Sul";458;969;19;169;27;111;-;-;486;234;114;5;39;60;73;4;27;164;641;3600
"Região Centro-Oeste";333;1228;63;229;61;169;-;3;889;310;280;11;80;132;166;1;37;174;1128;5294
".. Mato Grosso do Sul";71;215;9;51;11;29;-;-;183;66;57;4;9;34;34;1;4;21;214;1013
".. Mato Grosso";86;234;16;38;14;34;-;1;177;61;57;2;24;34;53;-;9;54;256;1150
".. Goiás";126;536;25;106;24;77;-;1;399;148;129;5;36;51;55;-;16;68;512;2314
".. Distrito Federal";50;243;13;34;12;29;-;1;130;35;37;-;11;13;24;-;8;31;146;817
"Total";5272;15856;771;3058;671;1892;2;21;12160;4247;3144;227;867;1556;1809;12;478;3602;11502;67147
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
