 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2016
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";252;467;1005;1576;2202;5502
".. Rondônia";15;40;75;158;249;537
".. Acre";11;29;41;63;99;243
".. Amazonas";68;115;233;358;471;1245
".. Roraima";16;24;37;25;66;168
".. Pará";108;195;510;774;1021;2608
".. Amapá";15;25;39;57;98;234
".. Tocantins";19;39;70;141;198;467
"Região Nordeste";599;1193;3099;5316;8710;18917
".. Maranhão";94;162;419;686;933;2294
".. Piauí";52;68;181;292;411;1004
".. Ceará";85;183;489;733;1204;2694
".. Rio Grande do Norte";27;70;204;253;511;1065
".. Paraíba";48;84;215;371;644;1362
".. Pernambuco";85;172;542;935;1667;3401
".. Alagoas";35;86;189;343;572;1225
".. Sergipe";30;52;113;211;347;753
".. Bahia";143;316;747;1492;2421;5119
"Região Sudeste";623;1354;4035;7748;14458;28218
".. Minas Gerais";170;341;943;1868;3414;6736
".. Espírito Santo";33;54;188;349;595;1219
".. Rio de Janeiro";145;337;990;1788;3475;6735
".. São Paulo";275;622;1914;3743;6974;13528
"Região Sul";240;485;1382;2458;4651;9216
".. Paraná";101;207;544;934;1801;3587
".. Santa Catarina";56;109;305;551;1008;2029
".. Rio Grande do Sul";83;169;533;973;1842;3600
"Região Centro-Oeste";153;298;872;1527;2444;5294
".. Mato Grosso do Sul";30;59;160;305;459;1013
".. Mato Grosso";31;71;212;335;501;1150
".. Goiás";68;125;378;642;1101;2314
".. Distrito Federal";24;43;122;245;383;817
"Total";1867;3797;10393;18625;32465;67147
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
