 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2026
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";1644;104;336;106;109;-;2299
".. Rondônia";150;4;27;13;11;-;205
".. Acre";55;-;32;1;3;-;91
".. Amazonas";411;2;84;22;20;-;539
".. Roraima";68;-;13;2;5;-;88
".. Pará";736;87;136;60;49;-;1068
".. Amapá";78;3;13;4;10;-;108
".. Tocantins";146;8;31;4;11;-;200
"Região Nordeste";4668;436;1170;378;309;7;6968
".. Maranhão";617;29;157;41;45;-;889
".. Piauí";261;5;94;22;12;-;394
".. Ceará";673;86;189;50;44;3;1045
".. Rio Grande do Norte";291;31;57;18;9;1;407
".. Paraíba";354;20;77;24;21;1;497
".. Pernambuco";780;103;153;50;55;-;1141
".. Alagoas";261;39;72;22;17;-;411
".. Sergipe";214;3;57;18;8;-;300
".. Bahia";1217;120;314;133;98;2;1884
"Região Sudeste";6702;855;1346;411;294;4;9612
".. Minas Gerais";1428;148;355;101;59;3;2094
".. Espírito Santo";329;34;61;28;21;-;473
".. Rio de Janeiro";1501;314;220;61;95;-;2191
".. São Paulo";3444;359;710;221;119;1;4854
"Região Sul";2246;146;470;198;99;1;3160
".. Paraná";884;66;188;101;40;1;1280
".. Santa Catarina";563;32;110;51;36;-;792
".. Rio Grande do Sul";799;48;172;46;23;-;1088
"Região Centro-Oeste";1345;96;306;89;78;-;1914
".. Mato Grosso do Sul";234;3;65;17;16;-;335
".. Mato Grosso";356;23;67;18;21;-;485
".. Goiás";571;48;127;47;31;-;824
".. Distrito Federal";184;22;47;7;10;-;270
"Total";16605;1637;3628;1182;889;12;23953
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
