 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2018
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";8;1141;494;898;598;609;167;1855;5770
".. Rondônia";-;59;27;74;38;38;5;161;402
".. Acre";-;46;30;56;33;44;6;107;322
".. Amazonas";3;301;126;180;181;189;72;458;1510
".. Roraima";2;51;17;28;22;82;4;114;320
".. Pará";2;493;245;467;256;197;73;760;2493
".. Amapá";1;90;19;51;35;24;4;110;334
".. Tocantins";-;101;30;42;33;35;3;145;389
"Região Nordeste";10;3059;1269;2236;1044;993;240;4269;13120
".. Maranhão";2;410;218;311;183;203;61;590;1978
".. Piauí";-;217;105;116;65;60;14;278;855
".. Ceará";-;369;185;372;145;128;30;626;1855
".. Rio Grande do Norte";-;209;44;96;51;47;9;206;662
".. Paraíba";1;169;79;155;71;57;15;272;819
".. Pernambuco";5;522;163;275;158;204;18;662;2007
".. Alagoas";-;162;56;167;69;60;4;254;772
".. Sergipe";-;195;90;89;39;31;7;196;647
".. Bahia";2;806;329;655;263;203;82;1185;3525
"Região Sudeste";10;3656;1199;2209;1239;980;214;5347;14854
".. Minas Gerais";2;852;257;521;203;218;84;1229;3366
".. Espírito Santo";-;173;67;87;51;40;4;281;703
".. Rio de Janeiro";3;826;268;413;393;281;32;1030;3246
".. São Paulo";5;1805;607;1188;592;441;94;2807;7539
"Região Sul";3;1349;338;494;311;352;31;1695;4573
".. Paraná";3;597;139;170;131;163;13;694;1910
".. Santa Catarina";-;273;84;148;69;68;8;423;1073
".. Rio Grande do Sul";-;479;115;176;111;121;10;578;1590
"Região Centro-Oeste";5;805;247;466;279;297;54;1263;3416
".. Mato Grosso do Sul";1;99;38;79;50;70;12;251;600
".. Mato Grosso";-;168;66;121;89;77;22;317;860
".. Goiás";3;368;117;217;108;126;18;489;1446
".. Distrito Federal";1;170;26;49;32;24;2;206;510
"Total";36;10010;3547;6303;3471;3231;706;14429;41733
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
