 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2021
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";433;77;43;119;-;100;2;1;49;359;75;12;7;32;2584;1017;225;373;5508
".. Rondônia";26;8;1;7;-;5;-;-;3;11;4;1;-;4;171;86;18;24;369
".. Acre";25;3;1;14;-;10;1;-;1;27;5;1;1;2;153;51;23;11;329
".. Amazonas";132;22;3;40;-;23;1;-;10;95;23;4;3;4;620;272;58;100;1410
".. Roraima";53;4;-;17;-;7;-;-;6;48;4;-;1;2;108;51;17;39;357
".. Pará";147;30;28;29;-;45;-;1;22;142;30;4;2;13;1189;415;87;150;2334
".. Amapá";33;5;7;5;-;2;-;-;2;27;4;1;-;4;164;62;13;17;346
".. Tocantins";17;5;3;7;-;8;-;-;5;9;5;1;-;3;179;80;9;32;363
"Região Nordeste";751;192;84;154;1;244;-;3;128;408;129;14;13;53;6057;2354;330;584;11499
".. Maranhão";128;33;18;28;-;44;-;-;14;76;37;3;-;12;871;312;54;105;1735
".. Piauí";44;14;6;13;-;13;-;-;6;27;7;2;-;4;361;159;32;30;718
".. Ceará";120;27;15;13;-;42;-;1;27;60;22;-;2;4;758;303;19;85;1498
".. Rio Grande do Norte";22;11;5;3;-;13;-;-;8;13;4;-;1;5;326;149;6;18;584
".. Paraíba";42;17;4;11;-;18;-;-;6;30;7;1;2;7;452;150;20;45;812
".. Pernambuco";101;34;8;26;-;34;-;1;11;66;12;3;4;4;912;423;39;112;1790
".. Alagoas";54;13;1;13;-;19;-;1;13;23;4;1;2;1;385;146;30;48;754
".. Sergipe";44;5;4;7;-;17;-;-;4;19;4;-;-;5;255;106;11;28;509
".. Bahia";196;38;23;40;1;44;-;-;39;94;32;4;2;11;1737;606;119;113;3099
"Região Sudeste";543;247;99;126;1;289;-;4;168;559;131;10;9;64;6386;2840;352;864;12692
".. Minas Gerais";113;51;24;34;-;66;-;2;28;88;41;3;-;15;1510;715;98;162;2950
".. Espírito Santo";14;18;6;1;-;25;-;-;7;30;5;1;-;4;326;192;3;64;696
".. Rio de Janeiro";171;50;24;27;1;52;-;-;40;156;23;4;1;9;1373;508;71;260;2770
".. São Paulo";245;128;45;64;-;146;-;2;93;285;62;2;8;36;3177;1425;180;378;6276
"Região Sul";138;82;19;48;1;104;-;-;48;107;34;2;2;16;1961;1055;103;281;4001
".. Paraná";49;27;7;24;-;47;-;-;17;37;13;2;1;4;741;421;56;109;1555
".. Santa Catarina";35;18;4;10;-;17;-;-;17;34;11;-;-;5;517;273;21;58;1020
".. Rio Grande do Sul";54;37;8;14;1;40;-;-;14;36;10;-;1;7;703;361;26;114;1426
"Região Centro-Oeste";152;52;22;46;-;87;-;1;32;137;35;3;6;16;1503;769;79;237;3177
".. Mato Grosso do Sul";33;5;4;11;-;21;-;-;5;37;10;3;1;3;223;126;6;45;533
".. Mato Grosso";55;15;8;19;-;17;-;1;6;44;12;-;1;6;393;210;32;73;892
".. Goiás";58;22;7;11;-;45;-;-;14;41;8;-;4;3;649;309;33;92;1296
".. Distrito Federal";6;10;3;5;-;4;-;-;7;15;5;-;-;4;238;124;8;27;456
"Total";2017;650;267;493;3;824;2;9;425;1570;404;41;37;181;18491;8035;1089;2339;36877
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
