 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2022
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";414;74;50;111;-;140;-;-;56;559;64;17;3;44;2254;1001;237;330;5354
".. Rondônia";22;7;4;9;-;8;-;-;2;37;4;-;1;4;194;74;10;27;403
".. Acre";22;2;6;11;-;9;-;-;1;39;3;1;-;4;113;52;24;12;299
".. Amazonas";131;16;13;38;-;39;-;-;10;143;18;3;1;2;540;300;65;92;1411
".. Roraima";36;6;3;8;-;9;-;-;5;62;5;1;-;2;87;53;18;27;322
".. Pará";156;39;21;34;-;56;-;-;32;218;28;10;1;24;1047;382;106;119;2273
".. Amapá";25;3;2;5;-;7;-;-;3;32;3;-;-;5;131;54;6;21;297
".. Tocantins";22;1;1;6;-;12;-;-;3;28;3;2;-;3;142;86;8;32;349
"Região Nordeste";786;183;101;168;2;284;-;7;169;883;161;17;10;62;5731;2343;302;626;11835
".. Maranhão";133;32;18;29;-;58;-;1;19;139;30;5;-;11;790;358;50;106;1779
".. Piauí";53;16;7;14;1;20;-;1;10;48;17;1;-;1;369;169;23;35;785
".. Ceará";118;24;12;15;-;38;-;-;24;109;19;3;1;12;774;304;18;86;1557
".. Rio Grande do Norte";35;13;8;8;-;10;-;1;7;40;6;1;-;4;284;106;9;27;559
".. Paraíba";32;16;9;14;-;18;-;1;15;87;11;1;1;8;438;169;20;54;894
".. Pernambuco";116;19;14;24;-;39;-;1;22;152;20;3;1;10;858;402;41;131;1853
".. Alagoas";54;15;8;11;-;16;-;-;12;66;12;1;1;2;352;116;16;36;718
".. Sergipe";49;8;4;8;1;14;-;2;6;38;6;1;1;3;289;118;9;24;581
".. Bahia";196;40;21;45;-;71;-;-;54;204;40;1;5;11;1577;601;116;127;3109
"Região Sudeste";693;215;104;135;2;382;1;7;177;909;155;6;20;86;6451;2936;409;864;13552
".. Minas Gerais";164;43;17;33;2;78;-;2;39;175;36;1;3;12;1582;725;125;152;3189
".. Espírito Santo";19;14;4;11;-;33;-;-;7;69;3;-;-;6;300;170;5;58;699
".. Rio de Janeiro";194;36;23;33;-;74;-;2;37;222;31;1;12;20;1276;547;76;249;2833
".. São Paulo";316;122;60;58;-;197;1;3;94;443;85;4;5;48;3293;1494;203;405;6831
"Região Sul";195;88;27;39;-;116;1;2;48;216;33;1;2;22;2018;1106;120;325;4359
".. Paraná";88;36;10;16;-;50;1;2;22;90;14;1;2;12;804;413;36;154;1751
".. Santa Catarina";51;22;10;16;-;27;-;-;10;63;13;-;-;9;532;267;41;72;1133
".. Rio Grande do Sul";56;30;7;7;-;39;-;-;16;63;6;-;-;1;682;426;43;99;1475
"Região Centro-Oeste";208;60;43;52;-;98;-;3;46;265;41;4;4;28;1446;785;111;246;3440
".. Mato Grosso do Sul";34;15;5;14;-;21;-;1;10;58;10;1;-;8;232;132;24;47;612
".. Mato Grosso";74;10;23;21;-;32;-;-;11;84;10;1;-;9;404;224;38;76;1017
".. Goiás";85;24;11;13;-;31;-;2;21;106;20;2;4;9;618;285;41;101;1373
".. Distrito Federal";15;11;4;4;-;14;-;-;4;17;1;-;-;2;192;144;8;22;438
"Total";2296;620;325;505;4;1020;2;19;496;2832;454;45;39;242;17900;8171;1179;2391;38540
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
