 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2026
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";99;23;17;42;-;45;1;16;175;24;6;2;16;772;303;67;129;1737
".. Rondônia";6;1;-;2;-;1;-;2;6;-;-;1;1;50;21;1;9;101
".. Acre";12;1;-;7;-;3;-;1;15;-;-;-;1;39;18;8;9;114
".. Amazonas";28;8;4;14;-;13;1;3;38;7;1;-;3;191;64;18;44;437
".. Roraima";12;1;-;5;-;2;-;-;11;1;-;-;-;38;13;2;5;90
".. Pará";36;9;8;13;-;21;-;7;83;14;5;1;10;364;139;29;45;784
".. Amapá";3;1;3;1;-;1;-;2;12;1;-;-;-;30;16;3;7;80
".. Tocantins";2;2;2;-;-;4;-;1;10;1;-;-;1;60;32;6;10;131
"Região Nordeste";148;58;37;38;1;68;1;51;258;52;5;3;24;1967;797;82;217;3807
".. Maranhão";30;6;9;11;1;16;-;2;56;10;2;1;7;282;97;12;35;577
".. Piauí";8;3;2;1;-;1;-;7;13;6;1;-;2;98;47;4;12;205
".. Ceará";28;12;6;3;-;11;-;5;25;6;-;-;2;231;107;7;35;478
".. Rio Grande do Norte";4;4;2;1;-;2;-;2;6;1;-;1;1;103;42;4;8;181
".. Paraíba";9;6;5;-;-;8;-;1;21;1;-;-;1;167;60;11;14;304
".. Pernambuco";24;7;3;3;-;12;-;6;65;7;1;-;5;258;149;6;41;587
".. Alagoas";12;8;2;3;-;2;-;5;14;4;-;-;1;158;66;6;16;297
".. Sergipe";8;1;-;3;-;1;-;2;21;5;-;-;1;117;31;3;8;201
".. Bahia";25;11;8;13;-;15;1;21;37;12;1;1;4;553;198;29;48;977
"Região Sudeste";141;46;31;32;-;91;1;53;207;51;1;1;24;2022;947;136;274;4058
".. Minas Gerais";31;12;6;7;-;20;-;11;42;5;-;1;6;469;228;27;49;914
".. Espírito Santo";5;6;2;1;-;1;-;2;10;4;-;-;1;92;68;1;29;222
".. Rio de Janeiro";33;5;7;11;-;26;1;12;40;9;1;-;6;387;165;29;71;803
".. São Paulo";72;23;16;13;-;44;-;28;115;33;-;-;11;1074;486;79;125;2119
"Região Sul";46;25;8;10;1;36;1;18;46;13;1;-;11;758;383;38;94;1489
".. Paraná";22;8;4;2;-;14;1;8;14;6;-;-;6;314;158;18;36;611
".. Santa Catarina";11;9;4;5;-;10;-;7;23;4;-;-;5;202;106;9;25;420
".. Rio Grande do Sul";13;8;-;3;1;12;-;3;9;3;1;-;-;242;119;11;33;458
"Região Centro-Oeste";49;13;11;16;-;18;1;14;86;15;2;1;4;465;225;77;66;1063
".. Mato Grosso do Sul";11;2;2;5;-;3;-;1;17;2;1;-;-;77;44;5;12;182
".. Mato Grosso";19;4;7;9;-;2;-;4;39;8;1;-;4;149;64;31;24;365
".. Goiás";11;6;2;1;-;12;1;6;27;3;-;-;-;174;86;27;25;381
".. Distrito Federal";8;1;-;1;-;1;-;3;3;2;-;1;-;65;31;14;5;135
"Total";483;165;104;138;2;258;5;152;772;155;15;7;79;5984;2655;400;780;12154
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
