 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2023
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"Total"
"Região Norte";2173;659;1685;-;1027;5544
".. Rondônia";117;57;119;-;62;355
".. Acre";115;30;100;-;54;299
".. Amazonas";545;167;492;-;290;1494
".. Roraima";131;48;134;-;124;437
".. Pará";1001;272;624;-;392;2289
".. Amapá";120;34;117;-;65;336
".. Tocantins";144;51;99;-;40;334
"Região Nordeste";4950;1593;3165;-;1690;11398
".. Maranhão";735;214;494;-;281;1724
".. Piauí";287;104;239;-;89;719
".. Ceará";700;230;372;-;202;1504
".. Rio Grande do Norte";222;74;144;-;78;518
".. Paraíba";317;123;228;-;120;788
".. Pernambuco";732;248;555;-;301;1836
".. Alagoas";327;85;219;-;107;738
".. Sergipe";255;91;190;-;85;621
".. Bahia";1375;424;724;-;427;2950
"Região Sudeste";5583;2219;3532;1;2038;13373
".. Minas Gerais";1333;519;785;1;510;3148
".. Espírito Santo";297;108;200;-;119;724
".. Rio de Janeiro";1099;482;789;-;446;2816
".. São Paulo";2854;1110;1758;-;963;6685
"Região Sul";1835;648;1077;-;614;4174
".. Paraná";771;278;462;-;244;1755
".. Santa Catarina";456;153;269;-;155;1033
".. Rio Grande do Sul";608;217;346;-;215;1386
"Região Centro-Oeste";1392;530;975;-;566;3463
".. Mato Grosso do Sul";223;109;213;-;109;654
".. Mato Grosso";392;149;281;-;192;1014
".. Goiás";566;207;371;-;198;1342
".. Distrito Federal";211;65;110;-;67;453
"Total";15933;5649;10434;1;5935;37952
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
