 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2020
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4350;113;420;74;224;4;5185
".. Rondônia";345;6;21;4;6;-;382
".. Acre";253;3;19;1;8;-;284
".. Amazonas";1021;20;141;7;69;-;1258
".. Roraima";209;5;49;6;38;2;309
".. Pará";1991;66;153;48;77;1;2336
".. Amapá";271;4;11;2;16;-;304
".. Tocantins";260;9;26;6;10;1;312
"Região Nordeste";10258;205;603;141;189;8;11404
".. Maranhão";1473;34;125;38;45;2;1717
".. Piauí";642;3;61;10;7;2;725
".. Ceará";1498;14;63;16;32;2;1625
".. Rio Grande do Norte";524;5;20;3;3;-;555
".. Paraíba";734;9;31;11;10;-;795
".. Pernambuco";1560;39;86;15;26;-;1726
".. Alagoas";584;16;32;10;18;-;660
".. Sergipe";535;4;24;2;3;-;568
".. Bahia";2708;81;161;36;45;2;3033
"Região Sudeste";11594;419;391;64;101;5;12574
".. Minas Gerais";2729;74;117;22;20;3;2965
".. Espírito Santo";557;14;26;6;10;-;613
".. Rio de Janeiro";2590;170;61;6;28;-;2855
".. São Paulo";5718;161;187;30;43;2;6141
"Região Sul";3547;83;157;27;71;2;3887
".. Paraná";1432;45;66;9;18;1;1571
".. Santa Catarina";958;10;34;8;18;1;1029
".. Rio Grande do Sul";1157;28;57;10;35;-;1287
"Região Centro-Oeste";2630;76;166;51;50;2;2975
".. Mato Grosso do Sul";442;9;51;14;14;-;530
".. Mato Grosso";701;27;53;20;20;-;821
".. Goiás";1091;36;46;16;11;2;1202
".. Distrito Federal";396;4;16;1;5;-;422
"Total";32379;896;1737;357;635;21;36025
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
