 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2016
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4770;982;507;637;2543;6164;6171;6608;9037;11575;13742;16979;390;80105
".. Rondônia";357;62;30;56;182;468;617;756;1043;1416;1589;1736;32;8344
".. Acre";239;59;28;30;153;254;254;313;405;519;669;832;8;3763
".. Amazonas";1225;253;121;140;535;1380;1282;1290;1936;2373;2750;3434;80;16799
".. Roraima";210;55;17;26;67;185;157;191;242;330;297;375;5;2157
".. Pará";2157;435;230;306;1259;3138;3044;3157;4182;5520;6602;8282;245;38557
".. Amapá";284;50;36;30;154;258;243;277;370;380;430;483;-;2995
".. Tocantins";298;68;45;49;193;481;574;624;859;1037;1405;1837;20;7490
"Região Nordeste";11505;1868;1097;1645;8014;19847;20679;25740;37909;51628;66171;100471;521;347095
".. Maranhão";1656;284;189;243;833;2355;2565;2688;3617;5023;6449;8409;51;34362
".. Piauí";763;113;72;96;333;995;1188;1328;2026;2837;3746;5658;32;19187
".. Ceará";1596;276;153;228;1250;2999;2994;3748;5505;7530;10322;17643;32;54276
".. Rio Grande do Norte";581;107;55;86;551;1355;1210;1523;2242;2988;4081;7141;2;21922
".. Paraíba";709;126;90;130;454;1122;1367;1954;2722;4137;5639;9586;5;28041
".. Pernambuco";1821;303;168;251;1292;3411;3525;4887;7610;10546;13650;19269;195;66928
".. Alagoas";689;130;71;111;629;1275;1289;1658;2415;3478;4057;4963;4;20769
".. Sergipe";495;73;40;79;390;960;935;1110;1562;1940;2424;3505;3;13516
".. Bahia";3195;456;259;421;2282;5375;5606;6844;10210;13149;15803;24297;197;88094
"Região Sudeste";13193;2120;1065;1617;7013;18341;24493;39903;75079;107896;123630;179323;1900;595573
".. Minas Gerais";2912;507;297;465;1777;4763;6164;9823;16993;23192;27615;40663;86;135257
".. Espírito Santo";624;133;63;93;441;1029;1207;1736;2889;3782;4401;6453;17;22868
".. Rio de Janeiro";2990;466;220;379;2210;5065;5481;8661;17334;26289;29111;41795;1088;141089
".. São Paulo";6667;1014;485;680;2585;7484;11641;19683;37863;54633;62503;90412;709;296359
"Região Sul";3903;679;356;588;2498;6764;8172;13192;24920;36457;45181;59732;151;202593
".. Paraná";1630;300;140;246;1070;2888;3281;5192;9197;13245;16678;20780;93;74740
".. Santa Catarina";834;152;93;126;479;1343;1655;2859;5252;7251;8818;11400;8;40270
".. Rio Grande do Sul";1439;227;123;216;949;2533;3236;5141;10471;15961;19685;27552;50;87583
"Região Centro-Oeste";2979;563;272;390;1720;4527;5349;7207;10852;14196;16496;19640;217;84408
".. Mato Grosso do Sul";548;128;51;71;244;643;879;1312;2138;2899;3514;4296;26;16749
".. Mato Grosso";740;179;69;92;378;1046;1266;1632;2317;2976;3253;3547;40;17535
".. Goiás";1244;189;113;167;848;2240;2409;3201;4906;6457;7405;8767;128;38074
".. Distrito Federal";447;67;39;60;250;598;795;1062;1491;1864;2324;3030;23;12050
"Total";36350;6212;3297;4877;21788;55643;64864;92650;157797;221752;265220;376145;3179;1309774
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
