 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2016
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";49725;30313;67;80105
".. Rondônia";5279;3060;5;8344
".. Acre";2357;1406;-;3763
".. Amazonas";10237;6550;12;16799
".. Roraima";1353;804;-;2157
".. Pará";23910;14605;42;38557
".. Amapá";1922;1072;1;2995
".. Tocantins";4667;2816;7;7490
"Região Nordeste";199015;147900;180;347095
".. Maranhão";20657;13695;10;34362
".. Piauí";11089;8076;22;19187
".. Ceará";30893;23369;14;54276
".. Rio Grande do Norte";12616;9298;8;21922
".. Paraíba";15225;12807;9;28041
".. Pernambuco";37078;29814;36;66928
".. Alagoas";11787;8963;19;20769
".. Sergipe";7996;5511;9;13516
".. Bahia";51674;36367;53;88094
"Região Sudeste";324899;270429;245;595573
".. Minas Gerais";75837;59359;61;135257
".. Espírito Santo";13215;9649;4;22868
".. Rio de Janeiro";74393;66584;112;141089
".. São Paulo";161454;134837;68;296359
"Região Sul";112466;90088;39;202593
".. Paraná";42578;32148;14;74740
".. Santa Catarina";22562;17697;11;40270
".. Rio Grande do Sul";47326;40243;14;87583
"Região Centro-Oeste";50737;33629;42;84408
".. Mato Grosso do Sul";9909;6839;1;16749
".. Mato Grosso";11109;6416;10;17535
".. Goiás";22942;15101;31;38074
".. Distrito Federal";6777;5273;-;12050
"Total";736842;572359;573;1309774
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
