 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2023
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XIX";"Cap XX";"Total"
"Região Norte";5450;13858;584;6089;692;2428;1;15;22560;10546;4493;446;371;2872;221;2291;1245;5992;-;14323;94477
".. Rondônia";489;1595;50;636;87;305;-;1;2386;1085;416;19;37;384;11;154;90;692;-;1537;9974
".. Acre";260;660;32;230;13;94;1;1;948;634;186;6;9;138;6;124;49;241;-;557;4189
".. Amazonas";1349;3074;122;1494;121;565;-;2;4331;2034;974;55;96;515;65;545;342;1589;-;3112;20385
".. Roraima";234;487;21;188;7;61;-;3;696;356;154;15;24;132;17;129;69;120;-;598;3311
".. Pará";2613;6112;299;2714;298;1097;-;5;10851;5055;2154;300;171;1384;92;1064;500;2893;-;6178;43780
".. Amapá";176;553;22;202;19;65;-;3;842;525;130;18;13;90;12;122;81;220;-;833;3926
".. Tocantins";329;1377;38;625;147;241;-;-;2506;857;479;33;21;229;18;153;114;237;-;1508;8912
"Região Nordeste";18766;57741;2097;25671;5222;11979;19;82;102356;41912;20703;3211;1891;12096;487;5417;3127;19389;-;48480;380646
".. Maranhão";1867;4855;232;2966;400;860;1;11;11455;3884;2112;309;140;1108;93;758;444;2097;-;5155;38747
".. Piauí";932;3099;125;1788;323;792;-;4;6640;2487;1164;159;75;571;28;344;234;1021;-;2743;22529
".. Ceará";3055;10458;282;2796;986;2540;3;11;15229;8521;3296;488;317;1732;65;753;458;1339;-;8306;60635
".. Rio Grande do Norte";1095;3910;127;1493;259;851;1;5;6143;2544;1193;197;193;825;29;252;169;763;-;2253;22302
".. Paraíba";1393;4554;167;2160;298;832;1;6;7840;3437;1688;246;127;1086;35;373;226;1301;-;3003;28773
".. Pernambuco";3721;10241;298;4314;852;2056;6;10;18448;8093;4065;710;421;2741;77;757;550;2467;-;8700;68527
".. Alagoas";1313;2839;119;1619;296;524;2;8;6632;2198;1216;178;120;655;34;368;160;993;-;2691;21965
".. Sergipe";657;2150;68;1015;326;425;-;6;3441;1271;723;132;54;517;14;299;150;979;-;1860;14087
".. Bahia";4733;15635;679;7520;1482;3099;5;21;26528;9477;5246;792;444;2861;112;1513;736;8429;-;13769;103081
"Região Sudeste";34297;118268;3531;36019;8114;26604;11;143;178646;81455;34249;5060;3524;31686;585;6404;3856;35985;1;55931;664369
".. Minas Gerais";8325;27215;893;8904;3014;6977;1;42;37828;20018;8003;997;909;6783;121;1518;991;10393;1;14670;157603
".. Espírito Santo";929;5040;109;2119;314;1504;1;3;7354;2178;1454;203;140;1235;26;309;246;192;-;3959;27315
".. Rio de Janeiro";9234;23821;1018;7992;1295;4223;5;29;37926;16984;6033;1330;674;7817;182;1287;676;11770;-;12852;145148
".. São Paulo";15809;62192;1511;17004;3491;13900;4;69;95538;42275;18759;2530;1801;15851;256;3290;1943;13630;-;24450;334303
"Região Sul";9918;47895;799;14468;3026;12182;1;34;58393;24583;11512;1020;1004;7613;162;1981;1531;7107;1;22340;225570
".. Paraná";3457;16523;339;4909;1255;4420;-;15;22083;9323;4902;419;460;2638;69;822;609;1853;1;9368;83465
".. Santa Catarina";1996;10840;157;3059;402;2224;-;8;13188;5263;2373;210;199;1703;36;477;363;1147;-;4944;48589
".. Rio Grande do Sul";4465;20532;303;6500;1369;5538;1;11;23122;9997;4237;391;345;3272;57;682;559;4107;-;8028;93516
"Região Centro-Oeste";5011;17275;512;5720;1312;3677;2;20;26222;11636;5915;510;543;3722;149;1523;1021;2655;-;13123;100548
".. Mato Grosso do Sul";847;3259;103;987;127;634;1;1;5639;2487;1105;144;115;796;26;259;199;677;-;2232;19638
".. Mato Grosso";1023;3402;125;1643;267;684;-;7;5277;1983;1066;72;110;809;45;433;250;1035;-;3559;21790
".. Goiás";2352;7686;202;2403;508;1720;1;11;11991;5668;2833;202;229;1690;57;610;419;635;-;5824;45041
".. Distrito Federal";789;2928;82;687;410;639;-;1;3315;1498;911;92;89;427;21;221;153;308;-;1508;14079
"Total";73442;255037;7523;87967;18366;56870;34;294;388177;170132;76872;10247;7333;57989;1604;17616;10780;71128;2;154197;1465610
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
