 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2025
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";5462;14983;604;6586;815;2614;1;19;24085;11144;4964;576;461;2986;208;2221;1169;5833;14182;98913
".. Rondônia";459;1788;47;752;99;326;-;4;2505;1190;425;35;43;409;16;173;87;619;1582;10559
".. Acre";233;736;27;182;20;84;-;-;1007;568;227;17;35;139;8;115;60;209;572;4239
".. Amazonas";1406;3201;166;1546;141;581;-;5;4501;2063;991;75;92;531;54;559;305;1611;2547;20375
".. Roraima";196;531;21;188;13;88;-;2;679;377;174;37;15;107;11;97;53;115;664;3368
".. Pará";2616;6662;285;3075;371;1177;1;5;11776;5421;2426;362;228;1384;98;1022;495;2811;6529;46744
".. Amapá";206;589;13;216;25;86;-;-;953;521;172;11;17;133;9;121;52;211;653;3988
".. Tocantins";346;1476;45;627;146;272;-;3;2664;1004;549;39;31;283;12;134;117;257;1635;9640
"Região Nordeste";17757;61719;2018;26207;5594;13333;11;80;103347;47710;22901;3851;2146;13724;454;4942;3011;17950;49521;396276
".. Maranhão";1848;5156;222;3144;441;1036;1;5;11400;4643;2343;371;148;1290;75;676;373;2210;5551;40933
".. Piauí";966;3460;139;1746;337;868;-;4;6310;2855;1233;194;75;614;34;301;211;1000;2874;23221
".. Ceará";2866;10923;279;2896;1206;2724;2;18;15615;8707;3685;625;380;2107;47;678;413;1587;9142;63900
".. Rio Grande do Norte";873;4259;120;1250;302;968;-;4;6371;2857;1348;206;191;965;25;278;159;732;2442;23350
".. Paraíba";1411;4846;138;2183;363;976;1;8;7916;4241;1709;259;149;1379;36;353;212;1318;3049;30547
".. Pernambuco";3498;10937;287;4603;772;2290;2;16;18269;8915;4584;859;457;2936;57;695;582;1962;8789;70510
".. Alagoas";1311;2938;111;1588;228;560;1;3;6712;2731;1436;202;139;724;35;330;173;858;2856;22936
".. Sergipe";556;2248;76;978;331;476;-;6;3636;1594;828;191;73;541;19;254;128;872;1773;14580
".. Bahia";4428;16952;646;7819;1614;3435;4;16;27118;11167;5735;944;534;3168;126;1377;760;7411;13045;106299
"Região Sudeste";28133;124071;3504;36857;8708;27839;19;154;185146;97312;36942;6014;3862;34699;514;5773;3790;34432;58445;696214
".. Minas Gerais";6786;28203;941;8848;2729;6624;8;34;37218;22782;8468;1148;976;7229;95;1431;925;9783;15544;159772
".. Espírito Santo";740;5453;106;2411;314;1901;1;10;8417;2174;1387;204;113;1391;28;287;275;136;4053;29401
".. Rio de Janeiro";6393;25422;927;8689;1614;4974;4;35;40420;19835;6584;1664;829;8593;164;1197;690;10963;13287;152284
".. São Paulo";14214;64993;1530;16909;4051;14340;6;75;99091;52521;20503;2998;1944;17486;227;2858;1900;13550;25561;354757
"Região Sul";8619;50315;870;15217;3464;13896;3;41;59048;29515;12498;1352;1195;8786;159;1992;1456;7608;21942;237976
".. Paraná";2881;17572;327;5254;1379;5185;1;16;22102;11146;5359;587;519;2967;74;841;573;1733;9300;87816
".. Santa Catarina";1722;11678;183;3266;469;2609;2;4;13537;6200;2654;287;261;1984;41;499;364;1315;5051;52126
".. Rio Grande do Sul";4016;21065;360;6697;1616;6102;-;21;23409;12169;4485;478;415;3835;44;652;519;4560;7591;98034
"Região Centro-Oeste";4689;18316;521;6056;1073;4171;3;30;26496;13469;6181;715;671;4214;123;1366;973;3349;12793;105209
".. Mato Grosso do Sul";840;3405;84;1093;122;692;1;6;5385;2677;1161;179;138;916;25;247;187;665;2220;20043
".. Mato Grosso";1013;3812;146;1596;261;649;1;7;5512;2673;1222;128;127;875;30;408;248;1210;3131;23049
".. Goiás";2128;7933;214;2615;554;2030;-;12;11984;6298;2934;313;266;1882;57;542;394;967;5889;47012
".. Distrito Federal";708;3166;77;752;136;800;1;5;3615;1821;864;95;140;541;11;169;144;507;1553;15105
"Total";64660;269404;7517;90923;19654;61853;37;324;398122;199150;83486;12508;8335;64409;1458;16294;10399;69172;156883;1534588
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
