 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Capítulo CID-10
Período:2017
"País de residência";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"25   POLONIA";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"116  IRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"45   ESTADOS UNIDOS";-;-;1;-;-;-;5;1;-;-;-;-;-;-;-;1;2;10
"38   REINO UNIDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"68   BOLIVIA";3;3;1;2;-;1;9;2;5;-;-;3;1;10;1;-;13;54
"71   EQUADOR";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"81   QUIRGUISTAO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"113  GUINE EQUATORIAL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"2    GABAO";1;1;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;6
"3    GEORGIA";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3;1;6
"4    IEMEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"7    PERU";4;1;-;-;-;-;3;-;1;-;-;1;1;3;1;-;4;19
"8    SEYCHELLES";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"9    SUICA";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;3
"10   TURCOMENISTAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"11   SOMALIA";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"19   ITALIA";1;-;-;-;-;-;4;1;1;-;-;-;-;-;-;-;1;8
"23   SUECIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"24   NORUEGA";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
"31   ANGOLA";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"32   ARGENTINA";1;5;-;4;-;-;26;5;1;-;1;-;-;5;-;6;18;72
"39   UCRANIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"41   ALEMANHA";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;4;6
"43   BELGICA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"44   ESPANHA";1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;2;7
"46   FRANCA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"48   ROMENIA";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"49   RUSSIA";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;3
"55   JAPAO";-;1;-;1;-;-;2;-;-;1;-;1;1;1;1;-;2;11
"107  FILIPINAS";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;3;6
"118  LITUANIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"122  MOLDOVA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"123  NEPAL";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"126  PARAGUAI";3;13;-;4;-;1;9;6;6;-;1;2;-;12;6;3;23;89
"128  REPUBLICA CENTRO-AFRICANA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"137  URUGUAI";-;2;-;-;-;-;8;1;-;-;-;1;-;-;-;2;4;18
"138  VENEZUELA";10;7;-;4;-;3;6;5;5;-;1;-;-;13;3;-;6;63
"143  AUSTRIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"146  BENIN";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"148  BULGARIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"151  COLOMBIA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;8;10
"160  FINLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"162  GRECIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"164  INDIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"168  LETONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"182  PORTUGAL";-;2;-;-;-;-;1;1;1;-;-;-;-;-;-;-;1;6
"192  CHILE";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;3
"193  REPUBLICA POPULAR DA CHINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"199  GUIANA";-;2;-;-;-;2;-;3;-;-;-;1;2;3;1;1;2;17
"239  SAMOA AMERICANA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"Total";24;42;2;17;1;7;98;27;28;1;3;11;5;48;13;23;105;455
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
