 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Faixa Etária
Período:2019
"País de residência";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"110  GUATEMALA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"45   ESTADOS UNIDOS";-;-;-;-;1;1;2;1;-;4;2;1;-;12
"38   REINO UNIDO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"64   TUVALU";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"68   BOLIVIA";11;-;-;-;2;8;8;6;7;7;3;4;3;59
"84   SURINAME";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"109  GANA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"121  MAURITANIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"2    GABAO";-;-;-;-;-;-;-;-;-;-;1;2;-;3
"3    GEORGIA";-;-;-;-;-;-;-;-;2;1;1;2;-;6
"5    LIBIA";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"7    PERU";-;-;-;-;1;2;-;2;1;-;-;1;3;10
"9    SUICA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"16   IRAQUE";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"19   ITALIA";-;-;-;-;-;1;-;-;1;1;3;1;-;7
"21   MEXICO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"24   NORUEGA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"26   REPUBLICA TCHECA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"31   ANGOLA";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"32   ARGENTINA";-;1;1;-;-;2;1;6;6;14;11;3;-;45
"39   UCRANIA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"41   ALEMANHA";-;-;-;-;-;1;-;-;1;2;-;-;-;4
"43   BELGICA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"44   ESPANHA";-;-;-;-;-;-;-;-;-;1;2;-;-;3
"46   FRANCA";-;-;-;-;-;-;1;2;-;3;2;-;-;8
"54   ISRAEL";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"55   JAPAO";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"70   ERITREIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"72   HONDURAS";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"96   CANADA";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"107  FILIPINAS";-;-;-;-;-;1;-;1;2;-;-;-;-;4
"114  HAITI";-;-;-;-;-;1;1;-;-;-;1;-;-;3
"118  LITUANIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"123  NEPAL";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"126  PARAGUAI";17;-;2;1;2;8;9;7;12;14;7;6;5;90
"128  REPUBLICA CENTRO-AFRICANA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"129  REPUBLICA DOMINICANA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"137  URUGUAI";-;-;-;-;-;3;2;1;1;6;3;-;1;17
"138  VENEZUELA";28;9;1;1;6;12;8;5;18;14;6;3;6;117
"143  AUSTRIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150  BURUNDI";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"151  COLOMBIA";-;-;-;-;2;5;4;2;3;-;1;-;-;17
"155  CROACIA";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"156  CUBA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"162  GRECIA";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"164  INDIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"165  INDONESIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"170  MADAGASCAR";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"182  PORTUGAL";1;-;-;-;-;-;-;1;-;-;-;-;-;2
"192  CHILE";-;-;-;-;-;-;1;-;1;-;-;1;-;3
"193  REPUBLICA POPULAR DA CHINA";-;-;-;-;-;-;1;1;1;1;-;-;-;4
"199  GUIANA";3;-;-;1;1;2;2;-;-;2;2;1;3;17
"Total";62;10;4;3;15;49;42;41;60;80;54;27;22;469
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
