 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2018
"País de residência";"Masc";"Fem";"Total"
"25   POLONIA";1;-;1
"45   ESTADOS UNIDOS";14;4;18
"38   REINO UNIDO";3;1;4
"68   BOLIVIA";31;32;63
"71   EQUADOR";1;-;1
"91   TUNISIA";1;3;4
"100  COSTA RICA";1;-;1
"2    GABAO";2;-;2
"3    GEORGIA";2;3;5
"5    LIBIA";2;-;2
"7    PERU";5;6;11
"9    SUICA";1;-;1
"10   TURCOMENISTAO";1;-;1
"12   BARBADOS";-;1;1
"19   ITALIA";6;-;6
"21   MEXICO";1;1;2
"23   SUECIA";-;1;1
"24   NORUEGA";1;-;1
"29   TAIWAN (ILHA FORMOSA)";1;-;1
"32   ARGENTINA";25;22;47
"33   BRUNEI";1;1;2
"37   PAISES BAIXOS";1;1;2
"39   UCRANIA";4;-;4
"41   ALEMANHA";3;1;4
"43   BELGICA";2;-;2
"44   ESPANHA";3;-;3
"46   FRANCA";4;-;4
"55   JAPAO";1;2;3
"59   ANTILHAS HOLANDESAS";1;-;1
"63   NAURU";1;-;1
"65   ALBANIA";-;1;1
"92   AUSTRALIA";1;-;1
"93   BAHREIN";1;-;1
"96   CANADA";1;-;1
"97   CATAR";-;1;1
"101  DOMINICA";-;1;1
"102  EGITO";1;-;1
"107  FILIPINAS";8;-;8
"111  GUIANA FRANCESA";2;-;2
"112  GUINE-BISSAU";1;-;1
"124  PANAMA";1;-;1
"126  PARAGUAI";76;32;108
"129  REPUBLICA DOMINICANA";1;-;1
"137  URUGUAI";8;8;16
"138  VENEZUELA";68;38;106
"139  ZIMBABUE";1;-;1
"144  AZERBAIJAO";1;-;1
"151  COLOMBIA";8;1;9
"156  CUBA";3;1;4
"162  GRECIA";1;-;1
"164  INDIA";1;-;1
"168  LETONIA";1;-;1
"180  PALAU";1;-;1
"182  PORTUGAL";3;1;4
"184  SAO VICENTE E GRANABINAS";1;2;3
"192  CHILE";4;3;7
"193  REPUBLICA POPULAR DA CHINA";1;-;1
"199  GUIANA";14;5;19
"Total";329;173;502
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
