 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2016
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";297;19;34;94;46;1;-;58;286;59;9;2;27;2672;905;161;100;4770
".. Rondônia";20;1;2;8;2;1;-;1;14;3;-;-;10;176;109;8;2;357
".. Acre";11;-;1;14;2;-;-;3;23;4;-;-;2;105;59;8;7;239
".. Amazonas";99;4;6;29;11;-;-;15;94;22;3;1;3;620;229;55;34;1225
".. Roraima";8;-;-;5;5;-;-;5;24;3;1;-;-;87;35;10;27;210
".. Pará";140;10;20;25;19;-;-;30;107;22;2;1;10;1336;342;72;21;2157
".. Amapá";6;3;5;8;3;-;-;2;15;3;3;-;1;176;49;6;4;284
".. Tocantins";13;1;-;5;4;-;-;2;9;2;-;-;1;172;82;2;5;298
"Região Nordeste";602;47;64;137;141;-;4;115;459;110;14;1;43;6894;2380;267;227;11505
".. Maranhão";114;7;13;43;21;-;-;14;87;25;2;-;9;965;291;33;32;1656
".. Piauí";39;-;2;10;8;-;-;13;23;6;-;-;-;467;169;15;11;763
".. Ceará";58;9;11;13;33;-;2;20;58;13;1;-;10;954;374;21;19;1596
".. Rio Grande do Norte";29;5;4;12;1;-;-;3;19;3;-;1;6;344;130;14;10;581
".. Paraíba";28;4;3;4;15;-;-;17;30;5;-;-;3;410;158;20;12;709
".. Pernambuco";119;7;9;12;17;-;1;4;71;7;5;-;7;1010;445;36;71;1821
".. Alagoas";38;-;5;6;11;-;-;8;48;5;2;-;-;410;130;13;13;689
".. Sergipe";25;3;1;2;4;-;-;2;15;6;1;-;1;311;107;6;11;495
".. Bahia";152;12;16;35;31;-;1;34;108;40;3;-;7;2023;576;109;48;3195
"Região Sudeste";468;43;52;87;155;-;2;138;647;108;5;4;51;7427;3169;340;497;13193
".. Minas Gerais";94;8;8;28;23;-;-;30;90;31;2;-;11;1703;712;102;70;2912
".. Espírito Santo";18;1;2;1;4;-;-;2;25;3;1;-;3;359;166;7;32;624
".. Rio de Janeiro";157;12;10;18;42;-;1;31;226;20;1;2;13;1557;669;48;183;2990
".. São Paulo";199;22;32;40;86;-;1;75;306;54;1;2;24;3808;1622;183;212;6667
"Região Sul";93;12;10;28;45;-;-;31;141;10;2;-;8;2240;1022;101;160;3903
".. Paraná";36;6;3;16;18;-;-;9;51;6;2;-;4;937;435;26;81;1630
".. Santa Catarina";16;1;4;6;8;-;-;13;29;2;-;-;2;490;216;29;18;834
".. Rio Grande do Sul";41;5;3;6;19;-;-;9;61;2;-;-;2;813;371;46;61;1439
"Região Centro-Oeste";133;14;11;22;41;-;1;36;112;36;4;-;9;1674;712;67;107;2979
".. Mato Grosso do Sul";37;6;-;2;8;-;1;9;22;14;-;-;3;262;130;20;34;548
".. Mato Grosso";42;2;7;10;10;-;-;8;43;5;1;-;6;391;166;23;26;740
".. Goiás";39;3;3;8;16;-;-;15;36;13;3;-;-;725;323;23;37;1244
".. Distrito Federal";15;3;1;2;7;-;-;4;11;4;-;-;-;296;93;1;10;447
"Total";1593;135;171;368;428;1;7;378;1645;323;34;7;138;20907;8188;936;1091;36350
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
