 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2021
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";137;2;5;45;189
".. Rondônia";9;-;-;-;9
".. Acre";16;-;-;2;18
".. Amazonas";41;-;1;11;53
".. Roraima";5;-;1;2;8
".. Pará";50;2;3;28;83
".. Amapá";10;-;-;2;12
".. Tocantins";6;-;-;-;6
"Região Nordeste";185;3;20;144;352
".. Maranhão";30;2;4;11;47
".. Piauí";12;-;2;4;18
".. Ceará";9;1;3;17;30
".. Rio Grande do Norte";4;-;1;4;9
".. Paraíba";14;-;1;6;21
".. Pernambuco";27;-;1;3;31
".. Alagoas";20;-;1;7;28
".. Sergipe";5;-;-;-;5
".. Bahia";64;-;7;92;163
"Região Sudeste";203;-;10;50;263
".. Minas Gerais";51;-;3;32;86
".. Espírito Santo";2;-;-;-;2
".. Rio de Janeiro";42;-;3;5;50
".. São Paulo";108;-;4;13;125
"Região Sul";60;1;-;15;76
".. Paraná";29;-;-;4;33
".. Santa Catarina";11;1;-;7;19
".. Rio Grande do Sul";20;-;-;4;24
"Região Centro-Oeste";52;1;3;21;77
".. Mato Grosso do Sul";5;-;1;1;7
".. Mato Grosso";17;-;2;7;26
".. Goiás";25;1;-;13;39
".. Distrito Federal";5;-;-;-;5
"Total";637;7;38;275;957
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
