 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2021
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4066;50;311;49;161;5;4642
".. Rondônia";290;3;12;5;4;-;314
".. Acre";251;-;19;3;6;1;280
".. Amazonas";982;13;110;7;48;1;1161
".. Roraima";180;4;38;4;43;-;269
".. Pará";1813;19;110;24;51;3;2020
".. Amapá";283;2;9;2;3;-;299
".. Tocantins";267;9;13;4;6;-;299
"Região Nordeste";9298;188;391;78;94;4;10053
".. Maranhão";1320;22;79;24;23;2;1470
".. Piauí";576;1;40;5;10;-;632
".. Ceará";1217;12;37;12;9;-;1287
".. Rio Grande do Norte";501;14;13;1;2;-;531
".. Paraíba";654;9;32;4;9;-;708
".. Pernambuco";1475;33;41;7;11;-;1567
".. Alagoas";592;22;29;2;6;1;652
".. Sergipe";419;2;14;-;3;-;438
".. Bahia";2544;73;106;23;21;1;2768
"Região Sudeste";10306;347;287;27;77;2;11046
".. Minas Gerais";2413;63;86;13;12;1;2588
".. Espírito Santo";551;13;21;1;3;1;590
".. Rio de Janeiro";2206;138;45;4;25;-;2418
".. São Paulo";5136;133;135;9;37;-;5450
"Região Sul";3213;54;117;13;30;1;3428
".. Paraná";1248;29;47;7;12;-;1343
".. Santa Catarina";838;10;33;3;6;1;891
".. Rio Grande do Sul";1127;15;37;3;12;-;1194
"Região Centro-Oeste";2474;56;108;23;26;-;2687
".. Mato Grosso do Sul";401;6;35;7;2;-;451
".. Mato Grosso";676;14;28;7;8;-;733
".. Goiás";1008;31;39;9;14;-;1101
".. Distrito Federal";389;5;6;-;2;-;402
"Total";29357;695;1214;190;388;12;31856
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
