 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2017
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";518;1322;67;231;31;147;1;767;296;230;30;127;137;254;1;35;253;1232;5679
".. Rondônia";45;114;5;15;3;22;-;96;15;21;1;7;9;22;1;2;20;134;532
".. Acre";18;64;3;7;2;9;-;39;16;16;-;8;10;8;-;2;4;62;268
".. Amazonas";125;324;11;44;4;29;1;134;58;37;3;47;30;53;-;7;94;228;1229
".. Roraima";13;27;3;14;1;8;-;24;7;4;1;3;10;6;-;1;2;72;196
".. Pará";269;612;42;107;9;56;-;357;170;118;19;48;65;132;-;16;118;557;2695
".. Amapá";18;61;-;9;-;7;-;33;16;11;3;8;3;7;-;1;12;47;236
".. Tocantins";30;120;3;35;12;16;-;84;14;23;3;6;10;26;-;6;3;132;523
"Região Nordeste";1297;4237;253;897;167;488;6;3290;941;876;80;232;428;574;5;126;974;3523;18394
".. Maranhão";188;475;47;107;17;60;-;395;118;96;19;30;41;98;1;15;104;363;2174
".. Piauí";59;257;13;47;13;32;-;180;41;62;3;13;19;39;-;12;38;198;1026
".. Ceará";160;655;33;87;18;82;-;414;168;110;8;58;58;86;1;25;64;658;2685
".. Rio Grande do Norte";57;221;24;47;6;27;1;167;47;45;1;8;32;35;-;9;25;225;977
".. Paraíba";67;278;14;64;9;37;1;266;71;64;5;16;37;40;-;14;60;203;1246
".. Pernambuco";236;836;30;174;22;86;3;620;145;169;15;32;80;103;-;18;71;608;3248
".. Alagoas";100;274;8;82;15;37;1;266;64;67;8;13;39;16;-;6;50;230;1276
".. Sergipe";59;196;10;31;12;22;-;142;23;27;6;7;15;20;2;5;43;131;751
".. Bahia";371;1045;74;258;55;105;-;840;264;236;15;55;107;137;1;22;519;907;5011
"Região Sudeste";1839;6710;281;1183;283;756;7;5128;1603;1332;104;320;696;728;2;188;1527;3971;26658
".. Minas Gerais";381;1465;92;349;167;199;1;1022;346;340;25;66;154;126;1;52;452;1132;6370
".. Espírito Santo";71;312;8;59;14;35;-;215;52;69;3;18;32;45;-;10;12;285;1240
".. Rio de Janeiro";595;1503;86;304;58;135;1;1223;343;242;25;83;185;198;-;30;384;892;6287
".. São Paulo";792;3430;95;471;44;387;5;2668;862;681;51;153;325;359;1;96;679;1662;12761
"Região Sul";820;2453;69;371;111;269;3;1293;418;345;12;101;140;172;10;86;263;1826;8762
".. Paraná";238;907;35;142;36;105;3;559;172;147;4;44;59;57;-;35;68;708;3319
".. Santa Catarina";164;577;14;66;21;68;-;265;84;67;4;18;26;39;-;13;46;433;1905
".. Rio Grande do Sul";418;969;20;163;54;96;-;469;162;131;4;39;55;76;10;38;149;685;3538
"Região Centro-Oeste";294;1194;43;210;57;155;1;767;197;278;7;63;100;144;1;45;143;1174;4873
".. Mato Grosso do Sul";56;205;4;37;7;29;-;135;31;44;3;10;17;27;1;14;17;200;837
".. Mato Grosso";77;228;15;48;17;26;-;159;45;60;2;18;37;40;-;4;52;286;1114
".. Goiás";119;534;19;92;26;66;-;372;97;146;2;26;37;54;-;19;50;561;2220
".. Distrito Federal";42;227;5;33;7;34;1;101;24;28;-;9;9;23;-;8;24;127;702
"Total";4768;15916;713;2892;649;1815;18;11245;3455;3061;233;843;1501;1872;19;480;3160;11726;64366
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
