 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2026
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";205;557;29;121;17;88;-;1;327;139;111;8;48;55;82;-;17;116;378;2299
".. Rondônia";12;43;1;8;1;8;-;1;34;17;9;-;3;5;6;-;2;12;43;205
".. Acre";5;23;-;3;1;4;-;-;18;3;3;-;1;3;2;-;-;14;11;91
".. Amazonas";59;141;8;24;1;18;-;-;65;31;25;3;16;19;23;-;2;26;78;539
".. Roraima";8;18;1;6;1;3;-;-;14;6;2;2;3;2;3;-;-;3;16;88
".. Pará";106;252;16;67;6;45;-;-;145;73;51;3;18;21;40;-;8;49;168;1068
".. Amapá";4;36;1;3;1;4;-;-;14;2;5;-;3;1;4;-;2;2;26;108
".. Tocantins";11;44;2;10;6;6;-;-;37;7;16;-;4;4;4;-;3;10;36;200
"Região Nordeste";386;1758;86;376;68;244;1;1;1087;472;357;48;93;169;129;1;59;404;1229;6968
".. Maranhão";53;183;16;60;15;44;-;-;140;81;48;7;13;26;17;-;10;38;138;889
".. Piauí";13;94;13;25;6;11;-;-;65;26;11;1;6;6;13;-;3;20;81;394
".. Ceará";59;296;10;34;6;40;-;-;155;76;47;8;16;35;19;1;9;31;203;1045
".. Rio Grande do Norte";19;119;1;24;1;14;-;-;67;22;23;2;9;12;7;-;3;19;65;407
".. Paraíba";23;150;3;40;3;13;-;-;70;36;25;-;8;13;12;-;2;22;77;497
".. Pernambuco";75;280;7;58;9;39;1;1;178;79;75;13;15;24;21;-;12;33;221;1141
".. Alagoas";26;98;4;15;1;15;-;-;80;28;20;1;2;8;8;-;5;26;74;411
".. Sergipe";18;77;4;25;3;10;-;-;40;19;9;4;5;8;2;-;1;25;50;300
".. Bahia";100;461;28;95;24;58;-;-;292;105;99;12;19;37;30;-;14;190;320;1884
"Região Sudeste";541;2544;111;406;70;298;-;3;1681;624;465;59;118;294;167;1;75;655;1500;9612
".. Minas Gerais";103;516;28;114;35;80;-;2;325;116;113;11;22;52;28;-;13;154;382;2094
".. Espírito Santo";23;128;5;23;-;13;-;-;89;25;21;1;3;17;7;-;4;5;109;473
".. Rio de Janeiro";174;547;30;103;8;61;-;-;376;114;88;11;32;70;62;-;20;166;329;2191
".. São Paulo";241;1353;48;166;27;144;-;1;891;369;243;36;61;155;70;1;38;330;680;4854
"Região Sul";180;950;22;147;52;104;-;-;407;156;146;12;35;66;59;2;31;175;616;3160
".. Paraná";46;364;9;47;22;46;-;-;170;80;62;3;11;25;32;-;7;72;284;1280
".. Santa Catarina";42;262;7;32;7;28;-;-;105;33;38;2;14;14;14;-;9;30;155;792
".. Rio Grande do Sul";92;324;6;68;23;30;-;-;132;43;46;7;10;27;13;2;15;73;177;1088
"Região Centro-Oeste";96;507;21;92;10;62;-;2;266;102;88;7;29;51;40;-;18;153;370;1914
".. Mato Grosso do Sul";20;85;3;22;2;18;-;-;57;11;15;2;1;11;10;-;3;13;62;335
".. Mato Grosso";29;126;8;19;1;5;-;1;73;32;22;-;7;12;13;-;3;43;91;485
".. Goiás";42;213;8;39;6;31;-;1;105;45;35;4;15;25;12;-;8;59;176;824
".. Distrito Federal";5;83;2;12;1;8;-;-;31;14;16;1;6;3;5;-;4;38;41;270
"Total";1408;6316;269;1142;217;796;1;7;3768;1493;1167;134;323;635;477;4;200;1503;4093;23953
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
