 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2024
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";215;388;1132;1705;2865;6305
".. Rondônia";17;27;94;157;237;532
".. Acre";10;17;57;80;130;294
".. Amazonas";50;106;267;394;640;1457
".. Roraima";14;20;52;77;128;291
".. Pará";90;168;524;766;1347;2895
".. Amapá";17;21;48;65;133;284
".. Tocantins";17;29;90;166;250;552
"Região Nordeste";502;935;2991;5305;9960;19693
".. Maranhão";75;142;386;651;1093;2347
".. Piauí";26;58;189;331;572;1176
".. Ceará";87;142;435;793;1411;2868
".. Rio Grande do Norte";22;45;153;270;479;969
".. Paraíba";28;64;203;338;674;1307
".. Pernambuco";68;153;524;917;1762;3424
".. Alagoas";32;55;194;314;680;1275
".. Sergipe";19;25;100;194;382;720
".. Bahia";145;251;807;1497;2907;5607
"Região Sudeste";600;1157;4308;7753;15826;29644
".. Minas Gerais";175;294;1004;1807;3598;6878
".. Espírito Santo";26;62;202;398;725;1413
".. Rio de Janeiro";117;227;955;1668;3569;6536
".. São Paulo";282;574;2147;3880;7934;14817
"Região Sul";194;400;1461;2610;5105;9770
".. Paraná";70;170;676;1057;2031;4004
".. Santa Catarina";53;94;309;630;1121;2207
".. Rio Grande do Sul";71;136;476;923;1953;3559
"Região Centro-Oeste";147;247;924;1570;2937;5825
".. Mato Grosso do Sul";33;58;154;278;547;1070
".. Mato Grosso";31;60;232;356;620;1299
".. Goiás";65;100;409;690;1312;2576
".. Distrito Federal";18;29;129;246;458;880
"Total";1658;3127;10816;18943;36693;71237
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
