 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2021
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";6323;345;1174;406;359;7;8614
".. Rondônia";683;16;112;51;27;2;891
".. Acre";358;1;72;20;19;-;470
".. Amazonas";1704;47;311;69;94;-;2225
".. Roraima";298;2;44;5;33;-;382
".. Pará";2446;232;472;200;149;3;3502
".. Amapá";305;14;54;9;11;-;393
".. Tocantins";529;33;109;52;26;2;751
"Região Nordeste";17158;1402;3805;1271;824;14;24474
".. Maranhão";1986;67;417;157;122;2;2751
".. Piauí";994;12;262;90;45;1;1404
".. Ceará";2535;276;607;269;156;1;3844
".. Rio Grande do Norte";1046;92;203;69;22;2;1434
".. Paraíba";1413;64;262;71;52;2;1864
".. Pernambuco";3090;284;595;161;132;2;4264
".. Alagoas";1071;71;224;59;34;-;1459
".. Sergipe";689;24;163;37;10;-;923
".. Bahia";4334;512;1072;358;251;4;6531
"Região Sudeste";31925;3882;4195;1091;864;20;41977
".. Minas Gerais";6614;769;1149;335;208;9;9084
".. Espírito Santo";1255;106;203;71;76;3;1714
".. Rio de Janeiro";6988;1312;778;181;197;2;9458
".. São Paulo";17068;1695;2065;504;383;6;21721
"Região Sul";10869;653;1583;576;424;12;14117
".. Paraná";4545;385;663;239;154;6;5992
".. Santa Catarina";2316;71;332;142;88;1;2950
".. Rio Grande do Sul";4008;197;588;195;182;5;5175
"Região Centro-Oeste";6695;469;897;370;237;1;8669
".. Mato Grosso do Sul";1271;51;190;69;59;-;1640
".. Mato Grosso";1572;105;179;115;48;-;2019
".. Goiás";3001;247;403;134;92;1;3878
".. Distrito Federal";851;66;125;52;38;-;1132
"Total";72970;6751;11654;3714;2708;54;97851
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
