 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2021
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";1938;1661;97;3696
".. Rondônia";104;128;9;241
".. Acre";83;76;5;164
".. Amazonas";571;418;13;1002
".. Roraima";69;67;8;144
".. Pará";883;726;38;1647
".. Amapá";93;112;10;215
".. Tocantins";135;134;14;283
"Região Nordeste";4934;4350;323;9607
".. Maranhão";781;648;42;1471
".. Piauí";274;236;13;523
".. Ceará";720;629;39;1388
".. Rio Grande do Norte";202;220;43;465
".. Paraíba";304;291;12;607
".. Pernambuco";725;680;46;1451
".. Alagoas";284;255;6;545
".. Sergipe";198;167;13;378
".. Bahia";1446;1224;109;2779
"Região Sudeste";5388;4849;356;10593
".. Minas Gerais";1281;1205;71;2557
".. Espírito Santo";286;230;19;535
".. Rio de Janeiro";1262;1124;74;2460
".. São Paulo";2559;2290;192;5041
"Região Sul";1507;1410;73;2990
".. Paraná";556;567;27;1150
".. Santa Catarina";405;356;10;771
".. Rio Grande do Sul";546;487;36;1069
"Região Centro-Oeste";1253;1133;53;2439
".. Mato Grosso do Sul";243;236;8;487
".. Mato Grosso";323;275;10;608
".. Goiás";499;442;19;960
".. Distrito Federal";188;180;16;384
"Total";15020;13403;902;29325
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
