 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2025
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";2837;36;260;28;75;22;3258
".. Rondônia";185;1;7;-;1;2;196
".. Acre";120;-;8;3;6;1;138
".. Amazonas";761;4;112;7;33;4;921
".. Roraima";113;3;13;4;4;3;140
".. Pará";1348;21;106;11;26;3;1515
".. Amapá";99;5;6;-;4;6;120
".. Tocantins";211;2;8;3;1;3;228
"Região Nordeste";7204;116;264;83;88;45;7800
".. Maranhão";978;17;61;21;29;10;1116
".. Piauí";446;4;11;9;6;3;479
".. Ceará";923;3;40;6;6;9;987
".. Rio Grande do Norte";390;1;6;2;3;1;403
".. Paraíba";468;1;18;4;1;-;492
".. Pernambuco";1059;48;23;13;8;4;1155
".. Alagoas";451;4;16;1;11;2;485
".. Sergipe";330;1;7;1;1;1;341
".. Bahia";2159;37;82;26;23;15;2342
"Região Sudeste";8622;193;178;26;39;19;9077
".. Minas Gerais";2110;16;58;10;13;9;2216
".. Espírito Santo";476;39;3;-;3;-;521
".. Rio de Janeiro";1897;21;47;7;6;2;1980
".. São Paulo";4139;117;70;9;17;8;4360
"Região Sul";2599;23;61;5;20;4;2712
".. Paraná";1014;12;19;3;3;1;1052
".. Santa Catarina";718;7;21;1;11;-;758
".. Rio Grande do Sul";867;4;21;1;6;3;902
"Região Centro-Oeste";2086;15;81;16;15;13;2226
".. Mato Grosso do Sul";393;4;19;6;4;1;427
".. Mato Grosso";474;3;23;4;7;4;515
".. Goiás";884;8;26;4;4;5;931
".. Distrito Federal";335;-;13;2;-;3;353
"Total";23348;383;844;158;237;103;25073
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
